;InChI;Count;Component;SMILES
46;InChIKey=RDOXTESZEPMUJZ-UHFFFAOYSA-N;109;Methoxybenzene;COc1ccccc1
47;InChIKey=ZAFNJMIOTHYJRJ-UHFFFAOYSA-N;97;2-propan-2-yloxypropane;CC(C)OC(C)C
48;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;89;Pentan-1-ol;CCCCCO
49;InChIKey=LYCAIKOWRPUZTN-UHFFFAOYSA-N;87;Ethane-1,2-diol;OCCO
50;InChIKey=XXJWXESWEXIICW-UHFFFAOYSA-N;76;2-(2-Ethoxyethoxy)ethanol;CCOCCOCCO
51;InChIKey=YEYKMVJDLWJFOA-UHFFFAOYSA-N;73;2-Propoxyethanol;CCCOCCO
52;InChIKey=JVSWJIKNEAIKJW-UHFFFAOYSA-N;72;2-Methylheptane;CCCCCC(C)C
53;InChIKey=ZNQVEEAIQZEUHB-UHFFFAOYSA-N;71;2-Ethoxyethanol;CCOCCO
54;InChIKey=ZXEKIIBDNHEJCQ-UHFFFAOYSA-N;71;2-Methylpropan-1-ol;CC(C)CO
55;InChIKey=YIWUKEYIRIRTPP-UHFFFAOYSA-N;58;2-Ethylhexan-1-ol;CCCCC(CC)CO
56;InChIKey=QPRQEDXDYOZYLA-UHFFFAOYSA-N;56;2-Methylbutan-1-ol;CCC(C)CO
57;InChIKey=PHTQWCKDNZKARW-UHFFFAOYSA-N;52;3-Methylbutan-1-ol;CC(C)CCO
58;InChIKey=HHAPGMVKBLELOE-UHFFFAOYSA-N;45;2-(2-Methylpropoxy)ethanol;CC(C)COCCO
59;InChIKey=JWUJQDFVADABEY-UHFFFAOYSA-N;45;2-Methyloxolane;CC1CCCO1
60;InChIKey=CETWDUZRCINIHU-UHFFFAOYSA-N;42;heptan-2-ol;CCCCCC(C)O
61;InChIKey=QNVRIHYSUZMSGM-UHFFFAOYSA-N;42;hexan-2-ol;CCCCC(C)O
62;InChIKey=SJWFXCIHNDVPSH-UHFFFAOYSA-N;42;octan-2-ol;CCCCCCC(C)O
63;InChIKey=YCIMNLLNPGFGHC-UHFFFAOYSA-N;40;benzene-1,2-diol;Oc1ccccc1O
64;InChIKey=JYVLIDXNZAXMDK-UHFFFAOYSA-N;39;pentan-2-ol;CCCC(C)O
65;InChIKey=BKIMMITUMNQMOS-UHFFFAOYSA-N;38;Nonane;CCCCCCCCC
66;InChIKey=GHMLBKRAJCXXBS-UHFFFAOYSA-N;35;benzene-1,3-diol;Oc1cccc(O)c1
67;InChIKey=IWDCLRJOBJJRNH-UHFFFAOYSA-N;32;4-Methylphenol;Cc1ccc(O)cc1
68;InChIKey=RLSSMJSEOOYNOY-UHFFFAOYSA-N;32;3-methylphenol;Cc1cccc(O)c1
69;InChIKey=QWVGKYWNOKOFNN-UHFFFAOYSA-N;32;2-Methylphenol;Cc1ccccc1O
70;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;31;methanol;CO
71;InChIKey=BSYVTEYKTMYBMK-UHFFFAOYSA-N;30;oxolan-2-ylmethanol;OCC1CCCO1
72;InChIKey=XPFVYQJUAUNWIW-UHFFFAOYSA-N;24;furan-2-ylmethanol;OCc1occc1
73;InChIKey=RTZKZFJDLAIYFH-UHFFFAOYSA-N;23;Ethoxyethane;CCOCC
74;InChIKey=WXZMFSXDPGVJKK-UHFFFAOYSA-N;22;2,2-bis(hydroxymethyl)propane-1,3-diol;OCC(CO)(CO)CO
75;InChIKey=HVZJRWJGKQPSFL-UHFFFAOYSA-N;21;2-Methoxy-2-methylbutane;CCC(C)(C)OC
76;InChIKey=HCGFUIQPSOCUHI-UHFFFAOYSA-N;18;2-propan-2-yloxyethanol;CC(C)OCCO
77;InChIKey=CUDYYMUUJHLCGZ-UHFFFAOYSA-N;18;2-(2-methoxypropoxy)propan-1-ol;COC(C)COC(C)CO
78;InChIKey=SBZXBUIDTXKZTM-UHFFFAOYSA-N;18;1-METHOXY-2-(2-METHOXYETHOXY)ETHANE;COCCOCCOC
79;InChIKey=HPXRVTGHNJAIIH-UHFFFAOYSA-N;15;Cyclohexanol;OC1CCCCC1
80;InChIKey=UFWIBTONFRDIAS-UHFFFAOYSA-N;10;NAPHTHALENE;c1ccc2ccccc2c1
81;InChIKey=NNBZCPXTIHJBJL-UHFFFAOYSA-N;9;1,2,3,4,4a,5,6,7,8,8a-decahydronaphthalene;C1CCC2CCCCC2C1
82;InChIKey=CXWXQJXEFPUFDZ-UHFFFAOYSA-N;9;1,2,3,4-Tetrahydronaphthalene;C1CCc2ccccc2C1
