,filename,components,smiles,"Mass density, kg/m3","Mass density, kg/m3_std","Speed of sound, m/s","Speed of sound, m/s_std",Relative permittivity at zero frequency,Relative permittivity at zero frequency_std,"Specific heat capacity at constant pressure, J/K/kg","Specific heat capacity at constant pressure, J/K/kg_std","Molar heat capacity at constant pressure, J/K/mol","Molar heat capacity at constant pressure, J/K/mol_std","Molar heat capacity at constant volume, J/K/mol","Molar heat capacity at constant volume, J/K/mol_std","Molar volume, m3/mol","Molar volume, m3/mol_std"
11672,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,,,,,,,215.06,,,,,,,
11673,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,,,,,,,216.58,,,,,,,
11674,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,,,,,,,218.04,,,,,,,
11675,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,,,,,,,219.62,,,,,,,
11676,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,,,,,,,221.14,,,,,,,
11677,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,,,,,,,222.8,,,,,,,
11678,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,,,,,,,224.37,,,,,,,
11679,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,,,,,,,226.07,,,,,,,
11680,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,,,,,,,227.65,,,,,,,
11681,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,,,,,,,229.24,,,,,,,
11682,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,,,,,,,230.82,,,,,,,
11683,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,,,,,,,232.6,,,,,,,
11684,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,,,,,,,234.14,,,,,,,
11685,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,,,,,,,235.83,,,,,,,
11686,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,,,,,,,237.52,,,,,,,
11687,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,,,,,,,239.08,,,,,,,
11688,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,,,,,,,240.59,,,,,,,
11689,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,,,,,,,242.28,,,,,,,
11690,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,,,,,,,243.86,,,,,,,
11691,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,,,,,,,245.11,,,,,,,
11692,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,,,,,,,247.19,,,,,,,
11693,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,,,,,,,248.62,,,,,,,
11694,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,,,,,,,250.13,,,,,,,
11695,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,,,,,,,251.66,,,,,,,
11696,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,,,,,,,253.24,,,,,,,
11697,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,,,,,,,254.86,,,,,,,
11938,j.jct.2004.09.009,2-propanol,CC(C)O,780.87,,,,,,,,,,,,,
12054,j.jct.2004.09.009,methylcyclohexane,CC1CCCCC1,769.3,,,,,,,,,,,,,
12055,j.jct.2004.09.009,methylcyclohexane,CC1CCCCC1,764.98,,,,,,,,,,,,,
12056,j.jct.2004.09.009,methylcyclohexane,CC1CCCCC1,760.65,,,,,,,,,,,,,
12057,j.jct.2004.09.009,methylcyclohexane,CC1CCCCC1,756.29,,,,,,,,,,,,,
12058,j.jct.2004.09.009,methylcyclohexane,CC1CCCCC1,751.93,,,,,,,,,,,,,
12304,j.jct.2004.09.014,2-methoxyethanol,COCCO,964.88,0.05,,,,,,,,,,,,
12305,j.jct.2004.09.014,2-methoxyethanol,COCCO,960.29,0.05,,,,,,,,,,,,
