,filename,x1,x2,smiles1,smiles2,components,Mole fraction,"Temperature, K","Pressure, kPa","Excess molar enthalpy (molar enthalpy of mixing), kJ/mol","Excess molar enthalpy (molar enthalpy of mixing), kJ/mol_std"
43322,j.jct.2005.06.018,"1,2-propanediol",water,CC(O)CO,O,"1,2-propanediol__water",0.7386,298.15,101.0,-0.436,-0.00436
43323,j.jct.2005.06.018,"1,2-propanediol",water,CC(O)CO,O,"1,2-propanediol__water",0.8236,298.15,101.0,-0.325,-0.00325
43324,j.jct.2005.06.018,"1,2-propanediol",water,CC(O)CO,O,"1,2-propanediol__water",0.9233,298.15,101.0,-0.15,-0.0015
43325,j.jct.2005.06.018,"1,2-propanediol",water,CC(O)CO,O,"1,2-propanediol__water",0.0266,323.15,101.0,-0.227,-0.00227
43326,j.jct.2005.06.018,"1,2-propanediol",water,CC(O)CO,O,"1,2-propanediol__water",0.0579,323.15,101.0,-0.393,-0.00393
43327,j.jct.2005.06.018,"1,2-propanediol",water,CC(O)CO,O,"1,2-propanediol__water",0.1214,323.15,101.0,-0.628,-0.00628
43328,j.jct.2005.06.018,"1,2-propanediol",water,CC(O)CO,O,"1,2-propanediol__water",0.205,323.15,101.0,-0.753,-0.00753
43329,j.jct.2005.06.018,"1,2-propanediol",water,CC(O)CO,O,"1,2-propanediol__water",0.304,323.15,101.0,-0.746,-0.00746
43330,j.jct.2005.06.018,"1,2-propanediol",water,CC(O)CO,O,"1,2-propanediol__water",0.3872,323.15,101.0,-0.725,-0.00725
43331,j.jct.2005.06.018,"1,2-propanediol",water,CC(O)CO,O,"1,2-propanediol__water",0.4957,323.15,101.0,-0.643,-0.00643
43332,j.jct.2005.06.018,"1,2-propanediol",water,CC(O)CO,O,"1,2-propanediol__water",0.5454,323.15,101.0,-0.602,-0.00602
43333,j.jct.2005.06.018,"1,2-propanediol",water,CC(O)CO,O,"1,2-propanediol__water",0.6431,323.15,101.0,-0.508,-0.00508
43334,j.jct.2005.06.018,"1,2-propanediol",water,CC(O)CO,O,"1,2-propanediol__water",0.7386,323.15,101.0,-0.396,-0.00396
43335,j.jct.2005.06.018,"1,2-propanediol",water,CC(O)CO,O,"1,2-propanediol__water",0.8236,323.15,101.0,-0.279,-0.00279
43336,j.jct.2005.06.018,"1,2-propanediol",water,CC(O)CO,O,"1,2-propanediol__water",0.9233,323.15,101.0,-0.13,-0.0013
43337,j.jct.2005.06.018,"1,2-propanediol",water,CC(O)CO,O,"1,2-propanediol__water",0.0266,343.15,101.0,-0.144,-0.00144
43338,j.jct.2005.06.018,"1,2-propanediol",water,CC(O)CO,O,"1,2-propanediol__water",0.0579,343.15,101.0,-0.283,-0.00283
43339,j.jct.2005.06.018,"1,2-propanediol",water,CC(O)CO,O,"1,2-propanediol__water",0.1214,343.15,101.0,-0.462,-0.00462
43340,j.jct.2005.06.018,"1,2-propanediol",water,CC(O)CO,O,"1,2-propanediol__water",0.205,343.15,101.0,-0.503,-0.00503
43341,j.jct.2005.06.018,"1,2-propanediol",water,CC(O)CO,O,"1,2-propanediol__water",0.304,343.15,101.0,-0.514,-0.00514
43342,j.jct.2005.06.018,"1,2-propanediol",water,CC(O)CO,O,"1,2-propanediol__water",0.3872,343.15,101.0,-0.499,-0.00499
43343,j.jct.2005.06.018,"1,2-propanediol",water,CC(O)CO,O,"1,2-propanediol__water",0.4957,343.15,101.0,-0.453,-0.00453
43344,j.jct.2005.06.018,"1,2-propanediol",water,CC(O)CO,O,"1,2-propanediol__water",0.5454,343.15,101.0,-0.425,-0.00425
43345,j.jct.2005.06.018,"1,2-propanediol",water,CC(O)CO,O,"1,2-propanediol__water",0.6431,343.15,101.0,-0.368,-0.00368
43346,j.jct.2005.06.018,"1,2-propanediol",water,CC(O)CO,O,"1,2-propanediol__water",0.7386,343.15,101.0,-0.293,-0.00293
43347,j.jct.2005.06.018,"1,2-propanediol",water,CC(O)CO,O,"1,2-propanediol__water",0.8236,343.15,101.0,-0.216,-0.00216
43348,j.jct.2005.06.018,"1,2-propanediol",water,CC(O)CO,O,"1,2-propanediol__water",0.9233,343.15,101.0,-0.119,-0.00119
43349,j.jct.2005.06.018,"1,3-propanediol",water,OCCCO,O,"1,3-propanediol__water",0.0272,298.15,101.0,-0.236,-0.00236
43350,j.jct.2005.06.018,"1,3-propanediol",water,OCCCO,O,"1,3-propanediol__water",0.0591,298.15,101.0,-0.453,-0.00453
43351,j.jct.2005.06.018,"1,3-propanediol",water,OCCCO,O,"1,3-propanediol__water",0.1239,298.15,101.0,-0.744,-0.00744
43352,j.jct.2005.06.018,"1,3-propanediol",water,OCCCO,O,"1,3-propanediol__water",0.2087,298.15,101.0,-0.924,-0.00924
43353,j.jct.2005.06.018,"1,3-propanediol",water,OCCCO,O,"1,3-propanediol__water",0.3088,298.15,101.0,-1.011,-0.01011
43354,j.jct.2005.06.018,"1,3-propanediol",water,OCCCO,O,"1,3-propanediol__water",0.3926,298.15,101.0,-1.034,-0.01034
43355,j.jct.2005.06.018,"1,3-propanediol",water,OCCCO,O,"1,3-propanediol__water",0.5013,298.15,101.0,-0.992,-0.00992
43356,j.jct.2005.06.018,"1,3-propanediol",water,OCCCO,O,"1,3-propanediol__water",0.551,298.15,101.0,-0.904,-0.00904
43357,j.jct.2005.06.018,"1,3-propanediol",water,OCCCO,O,"1,3-propanediol__water",0.6483,298.15,101.0,-0.789,-0.00789
43358,j.jct.2005.06.018,"1,3-propanediol",water,OCCCO,O,"1,3-propanediol__water",0.743,298.15,101.0,-0.633,-0.00633
43359,j.jct.2005.06.018,"1,3-propanediol",water,OCCCO,O,"1,3-propanediol__water",0.8269,298.15,101.0,-0.458,-0.00458
43360,j.jct.2005.06.018,"1,3-propanediol",water,OCCCO,O,"1,3-propanediol__water",0.9249,298.15,101.0,-0.256,-0.00256
43361,j.jct.2005.06.018,"1,3-propanediol",water,OCCCO,O,"1,3-propanediol__water",0.0272,323.15,101.0,-0.167,-0.00167
43362,j.jct.2005.06.018,"1,3-propanediol",water,OCCCO,O,"1,3-propanediol__water",0.0591,323.15,101.0,-0.32,-0.0032
43363,j.jct.2005.06.018,"1,3-propanediol",water,OCCCO,O,"1,3-propanediol__water",0.1239,323.15,101.0,-0.533,-0.00533
43364,j.jct.2005.06.018,"1,3-propanediol",water,OCCCO,O,"1,3-propanediol__water",0.2087,323.15,101.0,-0.73,-0.0073
43365,j.jct.2005.06.018,"1,3-propanediol",water,OCCCO,O,"1,3-propanediol__water",0.3088,323.15,101.0,-0.831,-0.00831
43366,j.jct.2005.06.018,"1,3-propanediol",water,OCCCO,O,"1,3-propanediol__water",0.3926,323.15,101.0,-0.832,-0.00832
43367,j.jct.2005.06.018,"1,3-propanediol",water,OCCCO,O,"1,3-propanediol__water",0.5013,323.15,101.0,-0.821,-0.00821
43368,j.jct.2005.06.018,"1,3-propanediol",water,OCCCO,O,"1,3-propanediol__water",0.551,323.15,101.0,-0.813,-0.00813
43369,j.jct.2005.06.018,"1,3-propanediol",water,OCCCO,O,"1,3-propanediol__water",0.6483,323.15,101.0,-0.735,-0.00735
43370,j.jct.2005.06.018,"1,3-propanediol",water,OCCCO,O,"1,3-propanediol__water",0.743,323.15,101.0,-0.584,-0.00584
43371,j.jct.2005.06.018,"1,3-propanediol",water,OCCCO,O,"1,3-propanediol__water",0.8269,323.15,101.0,-0.417,-0.00417
43372,j.jct.2005.06.018,"1,3-propanediol",water,OCCCO,O,"1,3-propanediol__water",0.9249,323.15,101.0,-0.195,-0.00195
43373,j.jct.2005.06.018,"1,3-propanediol",water,OCCCO,O,"1,3-propanediol__water",0.0272,343.15,101.0,-0.125,-0.00125
43374,j.jct.2005.06.018,"1,3-propanediol",water,OCCCO,O,"1,3-propanediol__water",0.0591,343.15,101.0,-0.229,-0.00229
43375,j.jct.2005.06.018,"1,3-propanediol",water,OCCCO,O,"1,3-propanediol__water",0.1239,343.15,101.0,-0.386,-0.00386
43376,j.jct.2005.06.018,"1,3-propanediol",water,OCCCO,O,"1,3-propanediol__water",0.2087,343.15,101.0,-0.464,-0.00464
