,filename,x1,x2,smiles1,smiles2,components,Mole fraction,Activity coefficient,Activity coefficient_std
994646,je060395n,benzene,methoxymethane,c1ccccc1,COC,benzene__methoxymethane,0,1.26,0.0378
994652,je060395n,toluene,methoxymethane,Cc1ccccc1,COC,toluene__methoxymethane,0,1.07,0.0321
994653,je060395n,toluene,methoxymethane,Cc1ccccc1,COC,toluene__methoxymethane,0,1.1,0.033
994654,je060395n,toluene,methoxymethane,Cc1ccccc1,COC,toluene__methoxymethane,0,1.13,0.0339
994655,je060395n,toluene,methoxymethane,Cc1ccccc1,COC,toluene__methoxymethane,0,1.16,0.0348
994656,je060395n,toluene,methoxymethane,Cc1ccccc1,COC,toluene__methoxymethane,0,1.17,0.0351
994673,je060395n,"1,3-dimethylbenzene",methoxymethane,Cc1cccc(C)c1,COC,"1,3-dimethylbenzene__methoxymethane",0,1.22,0.0366
994674,je060395n,"1,3-dimethylbenzene",methoxymethane,Cc1cccc(C)c1,COC,"1,3-dimethylbenzene__methoxymethane",0,1.21,0.0363
994675,je060395n,"1,3-dimethylbenzene",methoxymethane,Cc1cccc(C)c1,COC,"1,3-dimethylbenzene__methoxymethane",0,1.21,0.0363
994676,je060395n,"1,3-dimethylbenzene",methoxymethane,Cc1cccc(C)c1,COC,"1,3-dimethylbenzene__methoxymethane",0,1.21,0.0363
994682,je060395n,"1,4-dimethylbenzene",methoxymethane,Cc1ccc(C)cc1,COC,"1,4-dimethylbenzene__methoxymethane",0,1.17,0.0351
994683,je060395n,"1,4-dimethylbenzene",methoxymethane,Cc1ccc(C)cc1,COC,"1,4-dimethylbenzene__methoxymethane",0,1.18,0.0354
994684,je060395n,"1,4-dimethylbenzene",methoxymethane,Cc1ccc(C)cc1,COC,"1,4-dimethylbenzene__methoxymethane",0,1.18,0.0354
994685,je060395n,"1,4-dimethylbenzene",methoxymethane,Cc1ccc(C)cc1,COC,"1,4-dimethylbenzene__methoxymethane",0,1.2,0.036
994686,je060395n,"1,4-dimethylbenzene",methoxymethane,Cc1ccc(C)cc1,COC,"1,4-dimethylbenzene__methoxymethane",0,1.2,0.036
1632196,je901063s,2-pentanol,water,CCCC(C)O,O,pentan-2-ol__water,0,58.8,1.764
1632197,je901063s,2-pentanol,water,CCCC(C)O,O,pentan-2-ol__water,0,73.9,2.217
1632198,je901063s,2-pentanol,water,CCCC(C)O,O,pentan-2-ol__water,0,89.2,2.676
1632199,je901063s,2-pentanol,water,CCCC(C)O,O,pentan-2-ol__water,0,86.1,2.583
1632200,je901063s,2-pentanol,water,CCCC(C)O,O,pentan-2-ol__water,0,104,3.12
1632201,je901063s,2-pentanol,water,CCCC(C)O,O,pentan-2-ol__water,0,103,3.09
1632202,je901063s,2-pentanol,water,CCCC(C)O,O,pentan-2-ol__water,0,119,3.57
1632203,je901063s,2-pentanol,water,CCCC(C)O,O,pentan-2-ol__water,0,129,3.87
1632204,je901063s,2-pentanol,water,CCCC(C)O,O,pentan-2-ol__water,0,134,4.02
1632205,je901063s,2-pentanol,water,CCCC(C)O,O,pentan-2-ol__water,0,134,4.02
1632206,je901063s,2-pentanol,water,CCCC(C)O,O,pentan-2-ol__water,0,124,3.72
1632207,je901063s,2-pentanol,water,CCCC(C)O,O,pentan-2-ol__water,0,130,3.9
1632208,je901063s,2-pentanol,water,CCCC(C)O,O,pentan-2-ol__water,0,118,3.54
1632220,je901063s,2-methyl-1-butanol,water,CCC(C)CO,O,2-methyl-1-butanol__water,0,86.3,2.589
1632221,je901063s,2-methyl-1-butanol,water,CCC(C)CO,O,2-methyl-1-butanol__water,0,117,3.51
1632222,je901063s,2-methyl-1-butanol,water,CCC(C)CO,O,2-methyl-1-butanol__water,0,138,4.14
1632223,je901063s,2-methyl-1-butanol,water,CCC(C)CO,O,2-methyl-1-butanol__water,0,134,4.02
1632224,je901063s,2-methyl-1-butanol,water,CCC(C)CO,O,2-methyl-1-butanol__water,0,158,4.74
1632225,je901063s,2-methyl-1-butanol,water,CCC(C)CO,O,2-methyl-1-butanol__water,0,151,4.53
1632226,je901063s,2-methyl-1-butanol,water,CCC(C)CO,O,2-methyl-1-butanol__water,0,163,4.89
1632227,je901063s,2-methyl-1-butanol,water,CCC(C)CO,O,2-methyl-1-butanol__water,0,173,5.19
1632228,je901063s,2-methyl-1-butanol,water,CCC(C)CO,O,2-methyl-1-butanol__water,0,180,5.4
1632229,je901063s,2-methyl-1-butanol,water,CCC(C)CO,O,2-methyl-1-butanol__water,0,173,5.19
1632230,je901063s,2-methyl-1-butanol,water,CCC(C)CO,O,2-methyl-1-butanol__water,0,170,5.1
1632231,je901063s,2-methyl-1-butanol,water,CCC(C)CO,O,2-methyl-1-butanol__water,0,179,5.37
1632232,je901063s,2-methyl-1-butanol,water,CCC(C)CO,O,2-methyl-1-butanol__water,0,169,5.07
1632233,je901063s,2-methyl-1-butanol,water,CCC(C)CO,O,2-methyl-1-butanol__water,0,160,4.8
1632234,je901063s,2-methyl-1-butanol,water,CCC(C)CO,O,2-methyl-1-butanol__water,0,162,4.86
1632238,je901063s,3-methyl-1-butanol,water,CC(C)CCO,O,"1-butanol, 3-methyl-__water",0,94.9,2.847
1632239,je901063s,3-methyl-1-butanol,water,CC(C)CCO,O,"1-butanol, 3-methyl-__water",0,126,3.78
1632240,je901063s,3-methyl-1-butanol,water,CC(C)CCO,O,"1-butanol, 3-methyl-__water",0,148,4.44
1632241,je901063s,3-methyl-1-butanol,water,CC(C)CCO,O,"1-butanol, 3-methyl-__water",0,146,4.38
1632242,je901063s,3-methyl-1-butanol,water,CC(C)CCO,O,"1-butanol, 3-methyl-__water",0,161,4.83
1632243,je901063s,3-methyl-1-butanol,water,CC(C)CCO,O,"1-butanol, 3-methyl-__water",0,164,4.92
1632244,je901063s,3-methyl-1-butanol,water,CC(C)CCO,O,"1-butanol, 3-methyl-__water",0,173,5.19
1632245,je901063s,3-methyl-1-butanol,water,CC(C)CCO,O,"1-butanol, 3-methyl-__water",0,175,5.25
1632246,je901063s,3-methyl-1-butanol,water,CC(C)CCO,O,"1-butanol, 3-methyl-__water",0,179,5.37
1632247,je901063s,3-methyl-1-butanol,water,CC(C)CCO,O,"1-butanol, 3-methyl-__water",0,184,5.52
1632248,je901063s,3-methyl-1-butanol,water,CC(C)CCO,O,"1-butanol, 3-methyl-__water",0,182,5.46
1632249,je901063s,3-methyl-1-butanol,water,CC(C)CCO,O,"1-butanol, 3-methyl-__water",0,178,5.34
1632250,je901063s,3-methyl-1-butanol,water,CC(C)CCO,O,"1-butanol, 3-methyl-__water",0,179,5.37
1632251,je901063s,3-methyl-1-butanol,water,CC(C)CCO,O,"1-butanol, 3-methyl-__water",0,164,4.92
1632252,je901063s,3-methyl-1-butanol,water,CC(C)CCO,O,"1-butanol, 3-methyl-__water",0,149,4.47
1642028,cs.jced.5b00116,glycerol,water,OCC(O)CO,O,glycerol__water,,0.73,0.0365
1642029,cs.jced.5b00116,glycerol,water,OCC(O)CO,O,glycerol__water,,0.75,0.0375
1642030,cs.jced.5b00116,glycerol,water,OCC(O)CO,O,glycerol__water,,0.78,0.039
1642031,cs.jced.5b00116,glycerol,water,OCC(O)CO,O,glycerol__water,,0.79,0.0395
1642032,cs.jced.5b00116,glycerol,water,OCC(O)CO,O,glycerol__water,,0.8,0.04
1642033,cs.jced.5b00116,glycerol,ethanol,OCC(O)CO,CCO,glycerol__ethanol,,4.76,0.238
1642034,cs.jced.5b00116,glycerol,ethanol,OCC(O)CO,CCO,glycerol__ethanol,,3.98,0.199
1642035,cs.jced.5b00116,glycerol,ethanol,OCC(O)CO,CCO,glycerol__ethanol,,3.73,0.1865
1642036,cs.jced.5b00116,glycerol,ethanol,OCC(O)CO,CCO,glycerol__ethanol,,3.52,0.176
1642037,cs.jced.5b00116,glycerol,ethanol,OCC(O)CO,CCO,glycerol__ethanol,,3.25,0.1625
