;filename;x1;x2;SMILES1;SMILES2;cas1;cas2;InChI1;InChI2;components;Mole fraction;Temperature, K;Pressure, kPa;Excess molar enthalpy (molar enthalpy of mixing), kJ/mol;Excess molar enthalpy (molar enthalpy of mixing), kJ/mol_std
200124;j.jct.2010.10.002;neohexane;tetrahydrofuran;CCC(C)(C)C;C1CCOC1;75-83-2;77392-70-2;InChIKey=HNRMPXKDFBEGFZ-UHFFFAOYSA-N;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;neohexane__tetrahydrofuran;0.15;298.15;101.0;0.3443;0.0017215
200125;j.jct.2010.10.002;neohexane;tetrahydrofuran;CCC(C)(C)C;C1CCOC1;75-83-2;77392-70-2;InChIKey=HNRMPXKDFBEGFZ-UHFFFAOYSA-N;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;neohexane__tetrahydrofuran;0.2;298.15;101.0;0.4315;0.0021575
200126;j.jct.2010.10.002;neohexane;tetrahydrofuran;CCC(C)(C)C;C1CCOC1;75-83-2;77392-70-2;InChIKey=HNRMPXKDFBEGFZ-UHFFFAOYSA-N;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;neohexane__tetrahydrofuran;0.2505;298.15;101.0;0.5077;0.0025385
200127;j.jct.2010.10.002;neohexane;tetrahydrofuran;CCC(C)(C)C;C1CCOC1;75-83-2;77392-70-2;InChIKey=HNRMPXKDFBEGFZ-UHFFFAOYSA-N;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;neohexane__tetrahydrofuran;0.2999;298.15;101.0;0.5684;0.002842
200128;j.jct.2010.10.002;neohexane;tetrahydrofuran;CCC(C)(C)C;C1CCOC1;75-83-2;77392-70-2;InChIKey=HNRMPXKDFBEGFZ-UHFFFAOYSA-N;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;neohexane__tetrahydrofuran;0.3498;298.15;101.0;0.6194;0.003097
200129;j.jct.2010.10.002;neohexane;tetrahydrofuran;CCC(C)(C)C;C1CCOC1;75-83-2;77392-70-2;InChIKey=HNRMPXKDFBEGFZ-UHFFFAOYSA-N;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;neohexane__tetrahydrofuran;0.4;298.15;101.0;0.6558;0.003279
200130;j.jct.2010.10.002;neohexane;tetrahydrofuran;CCC(C)(C)C;C1CCOC1;75-83-2;77392-70-2;InChIKey=HNRMPXKDFBEGFZ-UHFFFAOYSA-N;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;neohexane__tetrahydrofuran;0.45;298.15;101.0;0.6754;0.003377
200131;j.jct.2010.10.002;neohexane;tetrahydrofuran;CCC(C)(C)C;C1CCOC1;75-83-2;77392-70-2;InChIKey=HNRMPXKDFBEGFZ-UHFFFAOYSA-N;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;neohexane__tetrahydrofuran;0.5002;298.15;101.0;0.6847;0.0034235
200132;j.jct.2010.10.002;neohexane;tetrahydrofuran;CCC(C)(C)C;C1CCOC1;75-83-2;77392-70-2;InChIKey=HNRMPXKDFBEGFZ-UHFFFAOYSA-N;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;neohexane__tetrahydrofuran;0.5001;298.15;101.0;0.685;0.003425
200133;j.jct.2010.10.002;neohexane;tetrahydrofuran;CCC(C)(C)C;C1CCOC1;75-83-2;77392-70-2;InChIKey=HNRMPXKDFBEGFZ-UHFFFAOYSA-N;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;neohexane__tetrahydrofuran;0.55;298.15;101.0;0.6795;0.0033975
200134;j.jct.2010.10.002;neohexane;tetrahydrofuran;CCC(C)(C)C;C1CCOC1;75-83-2;77392-70-2;InChIKey=HNRMPXKDFBEGFZ-UHFFFAOYSA-N;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;neohexane__tetrahydrofuran;0.6003;298.15;101.0;0.6602;0.003301
200135;j.jct.2010.10.002;neohexane;tetrahydrofuran;CCC(C)(C)C;C1CCOC1;75-83-2;77392-70-2;InChIKey=HNRMPXKDFBEGFZ-UHFFFAOYSA-N;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;neohexane__tetrahydrofuran;0.6499;298.15;101.0;0.6281;0.0031405
200136;j.jct.2010.10.002;neohexane;tetrahydrofuran;CCC(C)(C)C;C1CCOC1;75-83-2;77392-70-2;InChIKey=HNRMPXKDFBEGFZ-UHFFFAOYSA-N;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;neohexane__tetrahydrofuran;0.7;298.15;101.0;0.5842;0.002921
200137;j.jct.2010.10.002;neohexane;tetrahydrofuran;CCC(C)(C)C;C1CCOC1;75-83-2;77392-70-2;InChIKey=HNRMPXKDFBEGFZ-UHFFFAOYSA-N;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;neohexane__tetrahydrofuran;0.75;298.15;101.0;0.525;0.002625
200138;j.jct.2010.10.002;neohexane;tetrahydrofuran;CCC(C)(C)C;C1CCOC1;75-83-2;77392-70-2;InChIKey=HNRMPXKDFBEGFZ-UHFFFAOYSA-N;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;neohexane__tetrahydrofuran;0.8002;298.15;101.0;0.4484;0.002242
200139;j.jct.2010.10.002;neohexane;tetrahydrofuran;CCC(C)(C)C;C1CCOC1;75-83-2;77392-70-2;InChIKey=HNRMPXKDFBEGFZ-UHFFFAOYSA-N;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;neohexane__tetrahydrofuran;0.8501;298.15;101.0;0.3599;0.0017995
200140;j.jct.2010.10.002;neohexane;tetrahydrofuran;CCC(C)(C)C;C1CCOC1;75-83-2;77392-70-2;InChIKey=HNRMPXKDFBEGFZ-UHFFFAOYSA-N;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;neohexane__tetrahydrofuran;0.9;298.15;101.0;0.2553;0.0012765
200141;j.jct.2010.10.002;neohexane;tetrahydrofuran;CCC(C)(C)C;C1CCOC1;75-83-2;77392-70-2;InChIKey=HNRMPXKDFBEGFZ-UHFFFAOYSA-N;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;neohexane__tetrahydrofuran;0.95;298.15;101.0;0.1364;0.000682
200142;j.jct.2010.10.002;neohexane;tetrahydrofuran;CCC(C)(C)C;C1CCOC1;75-83-2;77392-70-2;InChIKey=HNRMPXKDFBEGFZ-UHFFFAOYSA-N;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;neohexane__tetrahydrofuran;;298.15;101.0;0.5072;0.002536
