;filename;x1;x2;SMILES1;SMILES2;cas1;cas2;InChI1;InChI2;components;Mole fraction;Temperature, K;Pressure, kPa;Mass density, kg/m3;Mass density, kg/m3_std
19796;j.jct.2004.12.002;ethanol;heptane;CCO;CCCCCCC;121182-78-3;142-82-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;ethanol__heptane;0.3044;318.17;101.0;674.88;0.05
19797;j.jct.2004.12.002;ethanol;heptane;CCO;CCCCCCC;121182-78-3;142-82-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;ethanol__heptane;0.3971;318.17;101.0;680.74;0.05
19798;j.jct.2004.12.002;ethanol;heptane;CCO;CCCCCCC;121182-78-3;142-82-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;ethanol__heptane;0.4975;318.17;101.0;688.34;0.05
19799;j.jct.2004.12.002;ethanol;heptane;CCO;CCCCCCC;121182-78-3;142-82-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;ethanol__heptane;0.6043;318.17;101.0;698.25;0.05
19800;j.jct.2004.12.002;ethanol;heptane;CCO;CCCCCCC;121182-78-3;142-82-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;ethanol__heptane;0.6954;318.17;101.0;708.71;0.05
19801;j.jct.2004.12.002;ethanol;heptane;CCO;CCCCCCC;121182-78-3;142-82-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;ethanol__heptane;0.8023;318.17;101.0;724.14;0.05
19802;j.jct.2004.12.002;ethanol;heptane;CCO;CCCCCCC;121182-78-3;142-82-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;ethanol__heptane;0.9009;318.17;101.0;742.91;0.05
19803;j.jct.2004.12.002;ethanol;heptane;CCO;CCCCCCC;121182-78-3;142-82-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;ethanol__heptane;0.9531;318.18;101.0;754.95;0.05
19804;j.jct.2004.12.002;ethanol;heptane;CCO;CCCCCCC;121182-78-3;142-82-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;ethanol__heptane;1.0;318.18;101.0;768.0;0.05
40205;j.jct.2005.06.010;1-butanol;water;CCCCO;O;107569-51-7;14314-42-2;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;1-butanol__water;;298.15;20000.0;-0.714;0.001
40206;j.jct.2005.06.010;1-butanol;water;CCCCO;O;107569-51-7;14314-42-2;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;1-butanol__water;;298.15;20000.0;-0.713;0.001
