,Mixture,Mixture Count dens binary,Mixture Count actcoeff binary,Mixture Count sos binary,Mixture Count dielec binary,Mixture Count eme binary,Mixture Count emcp binary,Mixture Count emv binary
116,"1-hexanol__2,2,4-trimethylpentane",84.0,0.0,0.0,0.0,0.0,0.0,0.0
117,"1-heptanol__2,2,4-trimethylpentane",84.0,0.0,0.0,0.0,0.0,0.0,0.0
118,"2,2-bis(hydroxymethyl)-1,3-propanediol__water",84.0,0.0,22.0,0.0,0.0,0.0,0.0
119,2-propanol__tetrahydropyran,84.0,0.0,0.0,0.0,0.0,0.0,0.0
120,ethanol__benzyl alcohol,84.0,0.0,0.0,0.0,0.0,0.0,0.0
121,"1,4-dimethylbenzene__cyclohexane",81.0,0.0,26.0,0.0,0.0,0.0,0.0
122,1-butanol__2-methyl-1-propanol,81.0,0.0,0.0,0.0,0.0,0.0,0.0
123,1-octanol__1-butoxy-2-propanol,80.0,0.0,80.0,0.0,0.0,0.0,0.0
124,1-hexanol__1-butoxy-2-propanol,80.0,0.0,80.0,0.0,0.0,0.0,0.0
125,2-methyl-1-propanol__water,79.0,0.0,0.0,0.0,0.0,0.0,0.0
126,"1-pentanol__2,2,4-trimethylpentane",79.0,0.0,0.0,0.0,0.0,0.0,0.0
127,2-propanol__cyclohexane,78.0,0.0,78.0,0.0,9.0,0.0,0.0
128,"1,2-ethanediol__3-methylphenol",77.0,0.0,0.0,0.0,0.0,0.0,0.0
129,"n-octane__2,2,4-trimethylpentane",77.0,0.0,0.0,0.0,0.0,0.0,0.0
130,ethanol__n-octane,77.0,0.0,0.0,0.0,0.0,0.0,0.0
131,1-butanol__n-octane,77.0,0.0,0.0,0.0,0.0,0.0,0.0
132,1-pentanol__n-octane,77.0,0.0,0.0,0.0,0.0,0.0,0.0
133,1-octanol__1-nonanol,77.0,0.0,0.0,0.0,0.0,0.0,0.0
134,"n-heptane__2,2,4-trimethylpentane",77.0,0.0,0.0,0.0,0.0,0.0,0.0
135,"4-methylphenol__1,2-ethanediol",77.0,0.0,0.0,0.0,0.0,0.0,0.0
136,1-propanol__n-octane,77.0,0.0,0.0,0.0,0.0,0.0,0.0
137,"toluene__2,2,4-trimethylpentane",77.0,0.0,77.0,0.0,0.0,0.0,0.0
138,1-butanol__water,75.0,8.0,11.0,0.0,0.0,0.0,0.0
139,"1,5-hexanediol__water",75.0,0.0,0.0,0.0,0.0,0.0,0.0
140,"2-propanol__1,3-dioxolane",74.0,0.0,11.0,0.0,0.0,0.0,0.0
141,"dibutyl ether__ethanol, 2-propoxy-",73.0,0.0,73.0,0.0,0.0,0.0,0.0
142,"1,3-benzenediol__water",72.0,0.0,35.0,0.0,0.0,0.0,0.0
143,ethanol__isooctane,72.0,0.0,72.0,0.0,0.0,0.0,0.0
144,1-butanol__2-methyl-2-propanol,72.0,0.0,0.0,0.0,0.0,0.0,0.0
145,2-butoxyethanol__1-octanol,70.0,0.0,70.0,0.0,0.0,0.0,0.0
