,Mixture,Mixture Count dens binary,Mixture Count actcoeff binary,Mixture Count sos binary,Mixture Count dielec binary,Mixture Count eme binary,Mixture Count emcp binary,Mixture Count emv binary
595,methanol__1-propanol,0.0,0.0,0.0,105.0,0.0,0.0,0.0
596,methanol__2-methyl-2-propanol,0.0,0.0,0.0,95.0,0.0,0.0,0.0
597,pentan-1-ol__n-octane,0.0,0.0,0.0,45.0,0.0,0.0,0.0
598,n-octane__butyl oxide,0.0,0.0,0.0,45.0,0.0,0.0,0.0
599,pentan-1-ol__butyl oxide,0.0,0.0,0.0,45.0,0.0,0.0,0.0
600,ethanol__2-propanol,0.0,0.0,0.0,0.0,76.0,0.0,0.0
601,ethanol__1-propanol,0.0,0.0,0.0,0.0,74.0,0.0,0.0
602,"(RS)-2-butanol__1,1-dimethylethyl methyl ether",0.0,0.0,0.0,0.0,61.0,0.0,0.0
603,"ethanol, 2-ethoxy-__octane",0.0,0.0,0.0,0.0,59.0,0.0,0.0
604,"ethanol, 2-ethoxy-__cyclohexane",0.0,0.0,0.0,0.0,58.0,0.0,0.0
605,1-butanol__5-oxanonane,0.0,0.0,0.0,0.0,57.0,0.0,0.0
606,"hexane__ethanol, 2-ethoxy-",0.0,0.0,0.0,0.0,51.0,0.0,0.0
607,1-pentanol__cyclohexane,0.0,0.0,0.0,0.0,51.0,0.0,0.0
608,n-heptane__2-pentanol,0.0,0.0,0.0,0.0,42.0,0.0,0.0
609,pentan-1-ol__isooctane,0.0,0.0,0.0,0.0,42.0,0.0,0.0
610,1-pentanol__toluene,0.0,0.0,0.0,0.0,42.0,0.0,0.0
611,pentan-1-ol__heptane,0.0,0.0,0.0,0.0,42.0,0.0,0.0
612,"2,2,4-trimethylpentane__2-pentanol",0.0,0.0,0.0,0.0,42.0,0.0,0.0
613,"2-methyl-2-butanol__1,1-dimethylethyl methyl ether",0.0,0.0,0.0,0.0,39.0,0.0,0.0
614,"5-oxanonane__2,2,4-trimethylpentane",0.0,0.0,0.0,0.0,38.0,0.0,0.0
615,heptane__dibutyl ether,0.0,0.0,0.0,0.0,38.0,0.0,0.0
616,methylcyclohexane__5-oxanonane,0.0,0.0,0.0,0.0,38.0,0.0,0.0
617,toluene__5-oxanonane,0.0,0.0,0.0,0.0,38.0,0.0,0.0
618,"benzene__ethanol, 2-ethoxy-",0.0,0.0,0.0,0.0,36.0,0.0,0.0
619,ethanol__benzene,0.0,0.0,0.0,0.0,35.0,0.0,0.0
620,benzene__5-oxanonane,0.0,0.0,0.0,0.0,30.0,0.0,0.0
621,neohexane__tetrahydrofuran,0.0,0.0,0.0,0.0,23.0,0.0,0.0
622,diisopropyl__tetrahydrofuran,0.0,0.0,0.0,0.0,23.0,0.0,0.0
623,tetramethylene oxide__dibutyl ether,0.0,0.0,0.0,0.0,21.0,0.0,0.0
624,"2,3-dimethylbutane__ether, dipropyl",0.0,0.0,0.0,0.0,20.0,0.0,0.0
625,"butane, 2,2-dimethyl-__butyl oxide",0.0,0.0,0.0,0.0,20.0,0.0,0.0
626,dipropyl ether__dibutyl ether,0.0,0.0,0.0,0.0,20.0,0.0,0.0
627,tetramethylene oxide__dipropyl ether,0.0,0.0,0.0,0.0,20.0,0.0,0.0
628,"2,3-dimethylbutane__butyl oxide",0.0,0.0,0.0,0.0,20.0,0.0,0.0
629,methanol__dibutyl ether,0.0,0.0,0.0,0.0,20.0,0.0,0.0
630,1-methoxy-2-propanol__cyclohexane,0.0,0.0,0.0,0.0,19.0,0.0,0.0
631,"butane, 2,2-dimethyl-__ether, dipropyl",0.0,0.0,0.0,0.0,19.0,0.0,0.0
632,cyclohexane__2-butoxyethanol,0.0,0.0,0.0,0.0,19.0,0.0,0.0
633,1-pentanol__decane,0.0,0.0,0.0,0.0,19.0,0.0,0.0
634,methanol__methoxymethane,0.0,0.0,0.0,0.0,19.0,0.0,0.0
635,cyclohexane__5-oxanonane,0.0,0.0,0.0,0.0,19.0,0.0,0.0
636,epoxypropane__2-methylpentane,0.0,0.0,0.0,0.0,19.0,0.0,0.0
637,1-propanol__methoxymethane,0.0,0.0,0.0,0.0,19.0,0.0,0.0
638,"octane__1,4-dioxane",0.0,0.0,0.0,0.0,19.0,0.0,0.0
639,ethanol__methoxymethane,0.0,0.0,0.0,0.0,19.0,0.0,0.0
640,1-butanol__methoxymethane,0.0,0.0,0.0,0.0,19.0,0.0,0.0
641,cyclohexane__dibutyl ether,0.0,0.0,0.0,0.0,19.0,0.0,0.0
642,benzene__1-methoxy-2-propanol,0.0,0.0,0.0,0.0,19.0,0.0,0.0
643,benzene__2-butoxyethanol,0.0,0.0,0.0,0.0,19.0,0.0,0.0
644,ethanol__tetrahydropyran,0.0,0.0,0.0,0.0,19.0,0.0,0.0
645,hexane__cyclohexane,0.0,0.0,0.0,0.0,18.0,0.0,0.0
646,1-pentanol__nonane,0.0,0.0,0.0,0.0,18.0,0.0,0.0
647,1-pentanol__hexane,0.0,0.0,0.0,0.0,18.0,0.0,0.0
648,"benzyl alcohol__3,6-dioxa-1-octanol",0.0,0.0,0.0,0.0,17.0,0.0,0.0
649,benzyl alcohol__dibutyl ether,0.0,0.0,0.0,0.0,17.0,0.0,0.0
650,"benzyl alcohol__1,2-dimethoxyethane",0.0,0.0,0.0,0.0,17.0,0.0,0.0
651,"benzyl alcohol__ethanol, 2-ethoxy-",0.0,0.0,0.0,0.0,17.0,0.0,0.0
652,1-propanol__decane,0.0,0.0,0.0,0.0,17.0,0.0,0.0
653,2-methyl-1-propanol__1-methyl-1-(1-methylethoxy)ethane,0.0,0.0,0.0,0.0,17.0,0.0,0.0
654,"benzyl alcohol__3,6-dioxaoctane",0.0,0.0,0.0,0.0,17.0,0.0,0.0
655,1-propanol__heptane,0.0,0.0,0.0,0.0,16.0,0.0,0.0
656,ethanol__nonane,0.0,0.0,0.0,0.0,15.0,0.0,0.0
657,ethanol__decane,0.0,0.0,0.0,0.0,15.0,0.0,0.0
658,butan-2-ol__cyclohexyl alcohol,0.0,0.0,0.0,0.0,15.0,0.0,0.0
659,1-propanol__nonane,0.0,0.0,0.0,0.0,15.0,0.0,0.0
660,"1,2-dimethylbenzene__dibutyl ether",0.0,0.0,0.0,0.0,15.0,0.0,0.0
661,benzene__2-methyl-1-propanol,0.0,0.0,0.0,0.0,14.0,0.0,0.0
662,1-butanol__1-methyl-1-(1-methylethoxy)ethane,0.0,0.0,0.0,0.0,13.0,0.0,0.0
663,n-butyl alcohol__cyclohexyl alcohol,0.0,0.0,0.0,0.0,13.0,0.0,0.0
664,1-methyl-1-(1-methylethoxy)ethane__heptane,0.0,0.0,0.0,0.0,12.0,0.0,0.0
665,"1,2-propanediol__methanol",0.0,0.0,0.0,0.0,11.0,0.0,0.0
666,propyl alcohol__cyclohexyl alcohol,0.0,0.0,0.0,0.0,11.0,0.0,0.0
667,methanol__.alpha.-toluenol,0.0,0.0,0.0,0.0,11.0,0.0,0.0
668,tetrahydrofuran__nonane,0.0,0.0,0.0,0.0,11.0,0.0,0.0
669,1-hexanol__cyclopentane,0.0,0.0,0.0,0.0,11.0,0.0,0.0
670,"isopropyl ether__1,3-dimethylbenzene",0.0,0.0,0.0,0.0,11.0,0.0,0.0
671,"1,2-propanediol__1-hexanol",0.0,0.0,0.0,0.0,10.0,0.0,0.0
672,pentan-1-ol__tert-pentyl alcohol,0.0,0.0,0.0,0.0,10.0,0.0,0.0
673,ethanol__cyclohexyl alcohol,0.0,0.0,0.0,0.0,10.0,0.0,0.0
674,ethanol__.alpha.-toluenol,0.0,0.0,0.0,0.0,10.0,0.0,0.0
675,1-nonanol__cyclopentane,0.0,0.0,0.0,0.0,10.0,0.0,0.0
676,ethanol__tert-pentyl alcohol,0.0,0.0,0.0,0.0,10.0,0.0,0.0
677,butan-1-ol__tert-pentyl alcohol,0.0,0.0,0.0,0.0,10.0,0.0,0.0
678,"1,2-propanediol__1-pentanol",0.0,0.0,0.0,0.0,10.0,0.0,0.0
679,"1,2-propanediol__ethanol",0.0,0.0,0.0,0.0,10.0,0.0,0.0
680,"1,2-propanediol__1-butanol",0.0,0.0,0.0,0.0,10.0,0.0,0.0
681,1-octanol__cyclopentane,0.0,0.0,0.0,0.0,10.0,0.0,0.0
682,cyclohexane__1-heptanol,0.0,0.0,0.0,0.0,10.0,0.0,0.0
683,propan-1-ol__tert-pentyl alcohol,0.0,0.0,0.0,0.0,10.0,0.0,0.0
684,methanol__cyclohexyl alcohol,0.0,0.0,0.0,0.0,10.0,0.0,0.0
685,"1,2-propanediol__1-propanol",0.0,0.0,0.0,0.0,10.0,0.0,0.0
686,methanol__tert-pentyl alcohol,0.0,0.0,0.0,0.0,10.0,0.0,0.0
687,propan-1-ol__.alpha.-toluenol,0.0,0.0,0.0,0.0,9.0,0.0,0.0
688,1-pentanol__tetrahydropyran,0.0,0.0,0.0,0.0,9.0,0.0,0.0
689,butan-1-ol__.alpha.-toluenol,0.0,0.0,0.0,0.0,9.0,0.0,0.0
690,tetrahydropyran__decane,0.0,0.0,0.0,0.0,9.0,0.0,0.0
691,"1,4-dioxane__tetrahydropyran",0.0,0.0,0.0,0.0,9.0,0.0,0.0
692,.alpha.-toluenol__pentylcarbinol,0.0,0.0,0.0,0.0,9.0,0.0,0.0
693,cyclohexane__1-nonanol,0.0,0.0,0.0,0.0,9.0,0.0,0.0
694,2-propanol__cyclohexyl alcohol,0.0,0.0,0.0,0.0,9.0,0.0,0.0
695,pentan-1-ol__.alpha.-toluenol,0.0,0.0,0.0,0.0,9.0,0.0,0.0
696,tetrahydropyran__1-nonanol,0.0,0.0,0.0,0.0,9.0,0.0,0.0
697,"1-butanol__1,4-butanediol",0.0,0.0,0.0,0.0,0.0,130.0,0.0
