,Unnamed: 0,Component,SMILES,Component Count dens pure,Component Count cpmol pure,Component Count sos pure,Component Count dielec pure,Component Count hmol pure,Component Count vmol pure,Component Count vspec pure,Component Count dens binary,Component Count actcoeff binary,Component Count sos binary,Component Count dielec binary,Component Count eme binary,Component Count emcp binary,Component Count emv binary
36,36,"2,2-dimethylbutane",CCC(C)(C)C,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,37,3-methylpentane,CCC(C)CC,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,38,2-methylpentane,CCCC(C)C,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0
41,41,tetrahydrofuran,C1CCOC1,96.0,0.0,43.0,0.0,0.0,1.0,0.0,457.0,0.0,116.0,0.0,98.0,0.0,39.0
47,47,"1,4-dioxane",C1COCCO1,77.0,0.0,32.0,3.0,0.0,0.0,0.0,241.0,0.0,243.0,0.0,47.0,0.0,0.0
49,49,butan-2-ol,CCC(C)O,75.0,0.0,13.0,0.0,0.0,0.0,0.0,202.0,0.0,136.0,0.0,85.0,0.0,0.0
50,50,2-methyl-2-propanol,CC(C)(C)O,65.0,0.0,16.0,0.0,0.0,0.0,0.0,1168.0,0.0,45.0,0.0,0.0,0.0,0.0
52,52,diethyl ether,CCOCC,61.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,0.0,23.0,0.0,0.0,0.0,0.0
54,54,2-methylpropane,CC(C)C,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0
55,55,butane,CCCC,50.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,21.0,0.0,0.0,0.0,0.0,0.0
56,56,isopropyl ether,CC(C)OC(C)C,47.0,0.0,22.0,0.0,0.0,0.0,0.0,88.0,0.0,97.0,0.0,101.0,0.0,0.0
57,57,"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,45.0,0.0,12.0,0.0,0.0,0.0,0.0,1370.0,0.0,261.0,0.0,156.0,0.0,0.0
60,60,3-methyl-1-butanol,CC(C)CCO,37.0,0.0,4.0,0.0,0.0,0.0,0.0,235.0,15.0,52.0,0.0,0.0,0.0,0.0
61,61,2-methyl-2-butanol,CCC(C)(C)O,37.0,88.0,43.0,0.0,0.0,0.0,0.0,248.0,16.0,450.0,0.0,98.0,0.0,39.0
62,62,tetrahydropyran,C1CCOCC1,35.0,11.0,19.0,0.0,0.0,0.0,0.0,289.0,0.0,254.0,0.0,218.0,0.0,112.0
63,63,2-methoxyethanol,COCCO,35.0,0.0,10.0,0.0,0.0,0.0,0.0,517.0,17.0,306.0,0.0,0.0,0.0,0.0
64,64,tert-butyl ethyl ether,CCOC(C)(C)C,32.0,0.0,24.0,0.0,0.0,0.0,0.0,1048.0,4.0,819.0,0.0,0.0,0.0,0.0
66,66,"ethanol, 2-ethoxy-",CCOCCO,28.0,0.0,11.0,0.0,0.0,0.0,0.0,47.0,0.0,27.0,0.0,117.0,0.0,0.0
67,67,2-pentanol,CCCC(C)O,26.0,47.0,6.0,0.0,0.0,0.0,0.0,126.0,13.0,39.0,0.0,84.0,0.0,0.0
70,70,ethane,CC,25.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
73,73,cyclopentane,C1CCCC1,18.0,0.0,15.0,0.0,0.0,0.0,0.0,412.0,6.0,398.0,0.0,63.0,0.0,0.0
78,78,pentane,CCCCC,15.0,0.0,0.0,0.0,0.0,0.0,0.0,483.0,6.0,0.0,0.0,0.0,0.0,0.0
80,80,"1,3-dioxolane",C1COCO1,13.0,0.0,11.0,0.0,0.0,0.0,0.0,204.0,0.0,148.0,0.0,0.0,0.0,0.0
81,81,cyclooctane,C1CCCCCCC1,12.0,0.0,4.0,0.0,0.0,0.0,0.0,271.0,7.0,144.0,0.0,0.0,0.0,0.0
83,83,2-heptanol,CCCCCC(C)O,11.0,1.0,2.0,0.0,0.0,0.0,0.0,42.0,0.0,42.0,0.0,0.0,0.0,0.0
84,84,2-methyl-1-butanol,CCC(C)CO,11.0,73.0,43.0,0.0,0.0,0.0,0.0,173.0,15.0,56.0,0.0,0.0,0.0,0.0
85,85,1-propoxy-2-propanol,CCCOCC(C)O,10.0,0.0,10.0,0.0,0.0,0.0,0.0,318.0,0.0,145.0,0.0,0.0,0.0,0.0
87,87,2-methyltetrahydrofuran,CC1CCCO1,10.0,8.0,4.0,0.0,0.0,0.0,0.0,27.0,0.0,45.0,0.0,44.0,0.0,0.0
91,91,dipropyl ether,CCCOCCC,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
93,93,"ether, ethyl butyl",CCCCOCC,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,109,propylene glycol monoethyl ether,CCOCC(C)O,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,114,"ethanol, 2-propoxy-",CCCOCCO,4.0,0.0,0.0,3.0,0.0,0.0,0.0,151.0,0.0,73.0,78.0,0.0,0.0,0.0
116,116,4-methyl-2-pentanol,CC(C)CC(C)O,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,117,2-methyl-1-pentanol,CCCC(C)CO,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,118,2-methyl-2-pentanol,CCCC(C)(C)O,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,120,methylcyclopentane,CC1CCCC1,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
122,122,tert-amyl methyl ether,CCC(C)(C)OC,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
127,127,"1,1-diethoxyethane",CCOC(C)OCC,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,141,2-isopropoxyethanol,CC(C)OCCO,1.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0,0.0,0.0,0.0,0.0
143,143,neopentyl alcohol,CC(C)(C)CO,0.0,61.0,0.0,0.0,5.0,0.0,0.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0
145,145,3-methyl-2-butanol,CC(C)C(C)O,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
166,166,isooctane,CCCCCC(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413.0,0.0,72.0,0.0,42.0,0.0,0.0
167,167,n-propyl alcohol,CCCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.0,0.0,66.0,105.0,84.0,0.0,0.0
168,168,amylcarbinol,CCCCCCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0,0.0,96.0,0.0,19.0,0.0,0.0
173,173,tert-butanol,CC(C)(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.0,0.0,132.0,95.0,0.0,0.0,0.0
178,178,"2-methyl-1,3-propanediol",CC(CO)CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0
182,182,propane,CCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,21.0,0.0,0.0,0.0,0.0,0.0
183,183,"2,2-dimethyl-1,3-propanediol",CC(C)(CO)CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0
186,186,"3-methylpentane-1,5-diol",CC(CCO)CCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0
187,187,"ether, methyl tert-pentyl",CCC(C)(C)OC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,21.0,0.0,0.0,0.0,19.0
188,188,methyl alcohol,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,105.0,87.0,0.0,0.0
191,191,2-(2-methylpropoxy)ethanol,CC(C)COCCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,45.0,0.0,0.0,0.0,0.0
192,192,2-ethoxyethanol,CCOCCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,44.0,0.0,104.0,0.0,0.0
195,195,methane,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
202,202,cycloheptane,C1CCCCCC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
204,204,diisopropyl,CC(C)C(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0
205,205,neohexane,CCC(C)(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0
206,206,"ether, dipropyl",CCCOCCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0
