;Component;SMILES;Count dens pure;Count cpmol pure;Count sos pure;Count dielec pure;Count hmol pure;Count dens binary;Count actcoeff binary;Count sos binary;Count dielec binary;Count eme binary;Count emcp binary;Count emv binary;Count all
51;Butan-2-ol;CCC(C)O;75.0;0.0;13.0;0.0;0.0;202.0;0.0;136.0;0.0;85.0;0.0;0.0;511.0
52;1-Propoxypropan-2-ol;CCCOCC(C)O;10.0;0.0;10.0;0.0;0.0;318.0;0.0;145.0;0.0;0.0;0.0;0.0;483.0
54;Methoxymethane;COC;108.0;81.0;0.0;145.0;0.0;0.0;23.0;0.0;0.0;76.0;0.0;0.0;433.0
56;2-Ethoxyethanol;CCOCCO;28.0;0.0;11.0;0.0;0.0;91.0;0.0;71.0;0.0;221.0;0.0;0.0;422.0
57;;C1CCCCCCC1;12.0;0.0;4.0;0.0;0.0;249.0;7.0;144.0;0.0;0.0;0.0;0.0;416.0
60;1,3-DIOXOLANE;C1COCO1;13.0;0.0;11.0;0.0;0.0;204.0;0.0;148.0;0.0;0.0;0.0;0.0;376.0
62;2-Methylbutan-1-ol;CCC(C)CO;11.0;73.0;43.0;0.0;0.0;173.0;15.0;56.0;0.0;0.0;0.0;0.0;371.0
64;2-propan-2-yloxypropane;CC(C)OC(C)C;47.0;0.0;22.0;0.0;0.0;88.0;0.0;97.0;0.0;101.0;0.0;0.0;355.0
65;3-Methylbutan-1-ol;CC(C)CCO;37.0;0.0;4.0;0.0;0.0;235.0;15.0;52.0;0.0;0.0;0.0;0.0;343.0
66;pentan-2-ol;CCCC(C)O;26.0;47.0;6.0;0.0;0.0;126.0;13.0;39.0;0.0;84.0;0.0;0.0;341.0
71;2-Propoxyethanol;CCCOCCO;4.0;0.0;0.0;3.0;0.0;151.0;0.0;73.0;78.0;0.0;0.0;0.0;309.0
72;hexan-2-ol;CCCCC(C)O;154.0;0.0;2.0;0.0;0.0;90.0;0.0;42.0;0.0;0.0;0.0;0.0;288.0
73;2,2-dimethylpropan-1-ol;CC(C)(C)CO;0.0;61.0;0.0;0.0;5.0;213.0;0.0;0.0;0.0;0.0;0.0;0.0;279.0
83;2-Methylpropane-1,3-diol;CC(CO)CO;0.0;0.0;0.0;0.0;0.0;209.0;0.0;0.0;0.0;0.0;0.0;0.0;209.0
