,Component,SMILES,Component Count dens pure,Component Count cpmol pure,Component Count sos pure,Component Count dielec pure,Component Count hmol pure,Component Count vmol pure,Component Count vspec pure,Component Count dens binary,Component Count actcoeff binary,Component Count sos binary,Component Count dielec binary,Component Count eme binary,Component Count emcp binary,Component Count emv binary
173,tert-butanol,CC(C)(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.0,0.0,132.0,95.0,0.0,0.0,0.0
174,"1,6-hexanediol",OCCCCCCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0
175,pentaerythritol,OCC(CO)(CO)CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,0.0,22.0,0.0,0.0,0.0,0.0
176,cycloheptanol,OC1CCCCCC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0
177,.alpha.-toluenol,OCc1ccccc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,0.0,0.0,48.0,0.0,0.0
178,"2-methyl-1,3-propanediol",CC(CO)CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0
179,cyclohexylmethanol,OCC1CCCCC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0
180,2-cyclohexylethanol,OCCC1CCCCC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
181,diethoxymethane,CCOCOCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0
182,propane,CCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,21.0,0.0,0.0,0.0,0.0,0.0
183,"2,2-dimethyl-1,3-propanediol",CC(C)(CO)CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0
184,cyclooctanol,OC1CCCCCCC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0
185,"1,3-benzenediol",Oc1cccc(O)c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,0.0,35.0,0.0,0.0,0.0,0.0
186,"3-methylpentane-1,5-diol",CC(CCO)CCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0
187,"ether, methyl tert-pentyl",CCC(C)(C)OC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,21.0,0.0,0.0,0.0,19.0
188,methyl alcohol,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,105.0,87.0,0.0,0.0
189,tetralin,C1CCc2ccccc2C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
190,tetrole,o1cccc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,9.0,0.0,0.0,0.0,0.0,0.0
191,2-(2-methylpropoxy)ethanol,CC(C)COCCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,45.0,0.0,0.0,0.0,0.0
192,2-ethoxyethanol,CCOCCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,44.0,0.0,104.0,0.0,0.0
193,xyliton,OC[C@H](O)C(O)[C@H](O)CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
194,"1,2-benzenediol",Oc1ccccc1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,40.0,0.0,0.0,0.0,0.0
195,methane,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
196,2-methylphenol,Cc1ccccc1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,3.0,32.0,0.0,0.0,0.0,0.0
197,ethyl tert-pentyl ether,CCOC(C)(C)CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,27.0,0.0,0.0
198,"3,6-dioxa-1,8-octanediol",OCCOCCOCCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,35.0,0.0,0.0,0.0,0.0,0.0
199,naphthalene,c1ccc2ccccc2c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,10.0,0.0,0.0,0.0,0.0
200,glycidol,OCC1CO1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
201,o-xylene,Cc1ccccc1C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
202,cycloheptane,C1CCCCCC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
203,p-cymene,CC(C)c1ccc(C)cc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
204,diisopropyl,CC(C)C(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0
205,neohexane,CCC(C)(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0
206,"ether, dipropyl",CCCOCCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0
207,epoxypropane,CC1CO1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0
