;Mixture;x1;x2;SMILES1;SMILES2;Count dens binary;Count actcoeff binary;Count sos binary;Count dielec binary;Count eme binary;Count emcp binary;Mixture Count emv binary;Mixture Count all
420;ethoxybenzene__3-phenyl-1-propanol;ethoxybenzene;3-phenyl-1-propanol;CCOc1ccccc1;OCCCc1ccccc1;12.0;0.0;0.0;0.0;17.0;0.0;0.0;29.0
419;2-phenylethanol__methoxybenzene;2-phenylethanol;methoxybenzene;OCCc1ccccc1;COc1ccccc1;12.0;0.0;0.0;0.0;17.0;0.0;0.0;29.0
417;benzyl alcohol__methoxybenzene;benzyl alcohol;methoxybenzene;OCc1ccccc1;COc1ccccc1;12.0;0.0;0.0;0.0;17.0;0.0;0.0;29.0
412;benzyl alcohol__ethoxybenzene;benzyl alcohol;ethoxybenzene;OCc1ccccc1;CCOc1ccccc1;12.0;0.0;0.0;0.0;17.0;0.0;0.0;29.0
418;ethanol, 2-ethoxy-__water;ethanol, 2-ethoxy-;water;CCOCCO;O;12.0;0.0;16.0;0.0;0.0;0.0;0.0;28.0
440;1,4-dioxane__water;1,4-dioxane;water;C1COCCO1;O;10.0;0.0;18.0;0.0;0.0;0.0;0.0;28.0
397;1,3-butanediol__water;1,3-butanediol;water;CC(O)CCO;O;14.0;0.0;0.0;0.0;0.0;0.0;14.0;28.0
396;butane, 1,4-dihydroxy-__water;butane, 1,4-dihydroxy-;water;OCCCCO;O;14.0;0.0;0.0;0.0;0.0;0.0;14.0;28.0
395;2,3-butanediol__water;2,3-butanediol;water;CC(O)C(C)O;O;14.0;0.0;0.0;0.0;0.0;0.0;14.0;28.0
394;trimethylene glycol__water;trimethylene glycol;water;OCCCO;O;14.0;0.0;0.0;0.0;0.0;0.0;14.0;28.0
393;1,2-butanediol__water;1,2-butanediol;water;CCC(O)CO;O;14.0;0.0;0.0;0.0;0.0;0.0;14.0;28.0
574;cyclopentane__1,3-dioxolane;cyclopentane;1,3-dioxolane;C1CCCC1;C1COCO1;0.0;0.0;27.0;0.0;0.0;0.0;0.0;27.0
323;phenylmethane__tetrole;phenylmethane;tetrole;Cc1ccccc1;o1cccc1;27.0;0.0;0.0;0.0;0.0;0.0;0.0;27.0
322;1,2-dimethylbenzene__hexane;1,2-dimethylbenzene;hexane;Cc1ccccc1C;CCCCCC;27.0;0.0;0.0;0.0;0.0;0.0;0.0;27.0
321;tetrole__n-hexane;tetrole;n-hexane;o1cccc1;CCCCCC;27.0;0.0;0.0;0.0;0.0;0.0;0.0;27.0
573;benzene__1,3-dioxolane;benzene;1,3-dioxolane;c1ccccc1;C1COCO1;0.0;0.0;27.0;0.0;0.0;0.0;0.0;27.0
575;cyclohexane__1,3-dioxolane;cyclohexane;1,3-dioxolane;C1CCCCC1;C1COCO1;0.0;0.0;27.0;0.0;0.0;0.0;0.0;27.0
410;benzene__cyclopentane;benzene;cyclopentane;c1ccccc1;C1CCCC1;13.0;0.0;13.0;0.0;0.0;0.0;0.0;26.0
400;ethylbenzene__octane;ethylbenzene;octane;CCc1ccccc1;CCCCCCCC;13.0;0.0;13.0;0.0;0.0;0.0;0.0;26.0
403;toluene__cyclopentane;toluene;cyclopentane;Cc1ccccc1;C1CCCC1;13.0;0.0;13.0;0.0;0.0;0.0;0.0;26.0
406;ethylbenzene__cyclopentane;ethylbenzene;cyclopentane;CCc1ccccc1;C1CCCC1;13.0;0.0;13.0;0.0;0.0;0.0;0.0;26.0
407;ethylbenzene__nonane;ethylbenzene;nonane;CCc1ccccc1;CCCCCCCCC;13.0;0.0;13.0;0.0;0.0;0.0;0.0;26.0
404;ethylene glycol__1-heptanol;ethylene glycol;1-heptanol;OCCO;CCCCCCCO;13.0;0.0;12.0;0.0;0.0;0.0;0.0;25.0
374;glycerol__ethanol;glycerol;ethanol;OCC(O)CO;CCO;20.0;5.0;0.0;0.0;0.0;0.0;0.0;25.0
341;butan-1-ol__1,3-benzenediol;butan-1-ol;1,3-benzenediol;CCCCO;Oc1cccc(O)c1;25.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0
340;propan-1-ol__1,3-benzenediol;propan-1-ol;1,3-benzenediol;CCCO;Oc1cccc(O)c1;25.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0
339;n-propyl alcohol__water;n-propyl alcohol;water;CCCO;O;25.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0
345;2-ethoxyethanol__water;2-ethoxyethanol;water;CCOCCO;O;24.0;0.0;0.0;0.0;0.0;0.0;0.0;24.0
343;methanol__toluene;methanol;toluene;CO;Cc1ccccc1;24.0;0.0;0.0;0.0;0.0;0.0;0.0;24.0
347;2-n-butoxyethanol__water;2-n-butoxyethanol;water;CCCCOCCO;O;24.0;0.0;0.0;0.0;0.0;0.0;0.0;24.0
348;D-(+)-arabitol__water;D-(+)-arabitol;water;OCC(O)C(O)C(O)CO;O;24.0;0.0;0.0;0.0;0.0;0.0;0.0;24.0
414;benzene__hexane;benzene;hexane;c1ccccc1;CCCCCC;12.0;0.0;12.0;0.0;0.0;0.0;0.0;24.0
413;isobutanol__water;isobutanol;water;CC(C)CO;O;12.0;0.0;12.0;0.0;0.0;0.0;0.0;24.0
621;neohexane__tetrahydrofuran;neohexane;tetrahydrofuran;CCC(C)(C)C;C1CCOC1;0.0;0.0;0.0;0.0;23.0;0.0;0.0;23.0
424;ethane, 1,1'-oxybis-__1,3-dioxolane;ethane, 1,1'-oxybis-;1,3-dioxolane;CCOCC;C1COCO1;11.0;0.0;12.0;0.0;0.0;0.0;0.0;23.0
622;diisopropyl__tetrahydrofuran;diisopropyl;tetrahydrofuran;CC(C)C(C)C;C1CCOC1;0.0;0.0;0.0;0.0;23.0;0.0;0.0;23.0
584;benzene__2-methyltetrahydrofuran;benzene;2-methyltetrahydrofuran;c1ccccc1;CC1CCCO1;0.0;0.0;11.0;0.0;11.0;0.0;0.0;22.0
352;ethylene glycol__1-nonanol;ethylene glycol;1-nonanol;OCCO;CCCCCCCCCO;22.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0
363;1,2-dimethylbenzene__pentylcarbinol;1,2-dimethylbenzene;pentylcarbinol;Cc1ccccc1C;CCCCCCO;22.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0
370;1-pentanol__1-heptanol;1-pentanol;1-heptanol;CCCCCO;CCCCCCCO;22.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0
355;methoxybenzene__butylbenzene;methoxybenzene;butylbenzene;COc1ccccc1;CCCCc1ccccc1;22.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0
356;benzene__toluene;benzene;toluene;c1ccccc1;Cc1ccccc1;22.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0
357;1,3-dimethylbenzene__pentylcarbinol;1,3-dimethylbenzene;pentylcarbinol;Cc1cccc(C)c1;CCCCCCO;22.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0
358;methoxybenzene__toluene;methoxybenzene;toluene;COc1ccccc1;Cc1ccccc1;22.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0
359;benzene__ethylbenzene;benzene;ethylbenzene;c1ccccc1;CCc1ccccc1;22.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0
361;ethylbenzene__methoxybenzene;ethylbenzene;methoxybenzene;CCc1ccccc1;COc1ccccc1;22.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0
362;1-propanol__1-heptanol;1-propanol;1-heptanol;CCCO;CCCCCCCO;22.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0
364;methoxybenzene__propylbenzene;methoxybenzene;propylbenzene;COc1ccccc1;CCCc1ccccc1;22.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0
365;1-heptanol__1-nonanol;1-heptanol;1-nonanol;CCCCCCCO;CCCCCCCCCO;22.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0
366;ethylbenzene__toluene;ethylbenzene;toluene;CCc1ccccc1;Cc1ccccc1;22.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0
367;1-propanol__1-pentanol;1-propanol;1-pentanol;CCCO;CCCCCO;22.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0
368;1-propanol__1-nonanol;1-propanol;1-nonanol;CCCO;CCCCCCCCCO;22.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0
369;1-pentanol__1-nonanol;1-pentanol;1-nonanol;CCCCCO;CCCCCCCCCO;22.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0
416;2-ethyl-1-hexanol__ethylene glycol;2-ethyl-1-hexanol;ethylene glycol;CCCCC(CC)CO;OCCO;12.0;0.0;10.0;0.0;0.0;0.0;0.0;22.0
425;ethane, 1,1'-oxybis-__pentan-1-ol;ethane, 1,1'-oxybis-;pentan-1-ol;CCOCC;CCCCCO;11.0;0.0;11.0;0.0;0.0;0.0;0.0;22.0
426;2-methoxyethanol__1,3-dioxolane;2-methoxyethanol;1,3-dioxolane;COCCO;C1COCO1;11.0;0.0;11.0;0.0;0.0;0.0;0.0;22.0
431;pentan-1-ol__1,3-dioxolane;pentan-1-ol;1,3-dioxolane;CCCCCO;C1COCO1;11.0;0.0;11.0;0.0;0.0;0.0;0.0;22.0
432;ethanol, 2-ethoxy-__1,3-dioxolane;ethanol, 2-ethoxy-;1,3-dioxolane;CCOCCO;C1COCO1;11.0;0.0;11.0;0.0;0.0;0.0;0.0;22.0
433;2-butoxyethanol__1,3-dioxolane;2-butoxyethanol;1,3-dioxolane;CCCCOCCO;C1COCO1;11.0;0.0;11.0;0.0;0.0;0.0;0.0;22.0
353;benzene__methoxybenzene;benzene;methoxybenzene;c1ccccc1;COc1ccccc1;22.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0
623;tetramethylene oxide__dibutyl ether;tetramethylene oxide;dibutyl ether;C1CCOC1;CCCCOCCCC;0.0;0.0;0.0;0.0;21.0;0.0;0.0;21.0
434;isopropyl ether__toluene;isopropyl ether;toluene;CC(C)OC(C)C;Cc1ccccc1;11.0;0.0;0.0;0.0;10.0;0.0;0.0;21.0
625;butane, 2,2-dimethyl-__butyl oxide;butane, 2,2-dimethyl-;butyl oxide;CCC(C)(C)C;CCCCOCCCC;0.0;0.0;0.0;0.0;20.0;0.0;0.0;20.0
626;dipropyl ether__dibutyl ether;dipropyl ether;dibutyl ether;CCCOCCC;CCCCOCCCC;0.0;0.0;0.0;0.0;20.0;0.0;0.0;20.0
624;2,3-dimethylbutane__ether, dipropyl;2,3-dimethylbutane;ether, dipropyl;CC(C)C(C)C;CCCOCCC;0.0;0.0;0.0;0.0;20.0;0.0;0.0;20.0
438;ethanol__ethylene glycol;ethanol;ethylene glycol;CCO;OCCO;10.0;0.0;10.0;0.0;0.0;0.0;0.0;20.0
628;2,3-dimethylbutane__butyl oxide;2,3-dimethylbutane;butyl oxide;CC(C)C(C)C;CCCCOCCCC;0.0;0.0;0.0;0.0;20.0;0.0;0.0;20.0
629;methanol__dibutyl ether;methanol;dibutyl ether;CO;CCCCOCCCC;0.0;0.0;0.0;0.0;20.0;0.0;0.0;20.0
627;tetramethylene oxide__dipropyl ether;tetramethylene oxide;dipropyl ether;C1CCOC1;CCCOCCC;0.0;0.0;0.0;0.0;20.0;0.0;0.0;20.0
375;ethanol__1,3-benzenediol;ethanol;1,3-benzenediol;CCO;Oc1cccc(O)c1;20.0;0.0;0.0;0.0;0.0;0.0;0.0;20.0
635;cyclohexane__5-oxanonane;cyclohexane;5-oxanonane;C1CCCCC1;CCCCOCCCC;0.0;0.0;0.0;0.0;19.0;0.0;0.0;19.0
376;2-methyl-1-propanol__2-methyl-1-butanol;2-methyl-1-propanol;2-methyl-1-butanol;CC(C)CO;CCC(C)CO;19.0;0.0;0.0;0.0;0.0;0.0;0.0;19.0
380;2-methyl-1-propanol__3-methyl-1-butanol;2-methyl-1-propanol;3-methyl-1-butanol;CC(C)CO;CC(C)CCO;19.0;0.0;0.0;0.0;0.0;0.0;0.0;19.0
381;1-propanol__tert-butyl ethyl ether;1-propanol;tert-butyl ethyl ether;CCCO;CCOC(C)(C)C;19.0;0.0;0.0;0.0;0.0;0.0;0.0;19.0
382;1-pentanol__2-methyl-1-propanol;1-pentanol;2-methyl-1-propanol;CCCCCO;CC(C)CO;19.0;0.0;0.0;0.0;0.0;0.0;0.0;19.0
630;1-methoxy-2-propanol__cyclohexane;1-methoxy-2-propanol;cyclohexane;COCC(C)O;C1CCCCC1;0.0;0.0;0.0;0.0;19.0;0.0;0.0;19.0
631;butane, 2,2-dimethyl-__ether, dipropyl;butane, 2,2-dimethyl-;ether, dipropyl;CCC(C)(C)C;CCCOCCC;0.0;0.0;0.0;0.0;19.0;0.0;0.0;19.0
632;cyclohexane__2-butoxyethanol;cyclohexane;2-butoxyethanol;C1CCCCC1;CCCCOCCO;0.0;0.0;0.0;0.0;19.0;0.0;0.0;19.0
633;1-pentanol__decane;1-pentanol;decane;CCCCCO;CCCCCCCCCC;0.0;0.0;0.0;0.0;19.0;0.0;0.0;19.0
634;methanol__methoxymethane;methanol;methoxymethane;CO;COC;0.0;0.0;0.0;0.0;19.0;0.0;0.0;19.0
638;octane__1,4-dioxane;octane;1,4-dioxane;CCCCCCCC;C1COCCO1;0.0;0.0;0.0;0.0;19.0;0.0;0.0;19.0
636;epoxypropane__2-methylpentane;epoxypropane;2-methylpentane;CC1CO1;CCCC(C)C;0.0;0.0;0.0;0.0;19.0;0.0;0.0;19.0
639;ethanol__methoxymethane;ethanol;methoxymethane;CCO;COC;0.0;0.0;0.0;0.0;19.0;0.0;0.0;19.0
640;1-butanol__methoxymethane;1-butanol;methoxymethane;CCCCO;COC;0.0;0.0;0.0;0.0;19.0;0.0;0.0;19.0
641;cyclohexane__dibutyl ether;cyclohexane;dibutyl ether;C1CCCCC1;CCCCOCCCC;0.0;0.0;0.0;0.0;19.0;0.0;0.0;19.0
642;benzene__1-methoxy-2-propanol;benzene;1-methoxy-2-propanol;c1ccccc1;COCC(C)O;0.0;0.0;0.0;0.0;19.0;0.0;0.0;19.0
643;benzene__2-butoxyethanol;benzene;2-butoxyethanol;c1ccccc1;CCCCOCCO;0.0;0.0;0.0;0.0;19.0;0.0;0.0;19.0
644;ethanol__tetrahydropyran;ethanol;tetrahydropyran;CCO;C1CCOCC1;0.0;0.0;0.0;0.0;19.0;0.0;0.0;19.0
637;1-propanol__methoxymethane;1-propanol;methoxymethane;CCCO;COC;0.0;0.0;0.0;0.0;19.0;0.0;0.0;19.0
450;1-butanol__ethyl tert-pentyl ether;1-butanol;ethyl tert-pentyl ether;CCCCO;CCOC(C)(C)CC;9.0;0.0;0.0;0.0;9.0;0.0;0.0;18.0
646;1-pentanol__nonane;1-pentanol;nonane;CCCCCO;CCCCCCCCC;0.0;0.0;0.0;0.0;18.0;0.0;0.0;18.0
647;1-pentanol__hexane;1-pentanol;hexane;CCCCCO;CCCCCC;0.0;0.0;0.0;0.0;18.0;0.0;0.0;18.0
448;butan-2-ol__ethyl tert-pentyl ether;butan-2-ol;ethyl tert-pentyl ether;CCC(C)O;CCOC(C)(C)CC;9.0;0.0;0.0;0.0;9.0;0.0;0.0;18.0
