;Component;SMILES;Count dens binary;Count actcoeff binary;Count sos binary;Count dielec binary;Count eme binary;Count emcp binary;Count emv binary;Count all binary
77;2-Methylbutan-1-ol;CCC(C)CO;173.0;15.0;56.0;0.0;0.0;0.0;0.0;244.0
64;Cycloheptanol;OC1CCCCCC1;222.0;0.0;0.0;0.0;0.0;0.0;0.0;222.0
65;Octane-1,8-diol;OCCCCCCCCO;220.0;0.0;0.0;0.0;0.0;0.0;0.0;220.0
72;1,2-Diethoxyethane;CCOCCOCC;196.0;0.0;0.0;0.0;17.0;0.0;0.0;213.0
68;2,2-dimethylpropan-1-ol;CC(C)(C)CO;213.0;0.0;0.0;0.0;0.0;0.0;0.0;213.0
92;hexane-1,2-diol;CCCCC(O)CO;96.0;0.0;0.0;0.0;0.0;53.0;60.0;209.0
69;2-Methylpropane-1,3-diol;CC(CO)CO;209.0;0.0;0.0;0.0;0.0;0.0;0.0;209.0
78;3-methylphenol;Cc1cccc(O)c1;164.0;3.0;32.0;0.0;0.0;0.0;0.0;199.0
79;4-Methylphenol;Cc1ccc(O)cc1;164.0;0.0;32.0;0.0;0.0;0.0;0.0;196.0
73;;OC[C@@H](O)[C@@H](O)[C@@H](O)CO;193.0;0.0;0.0;0.0;0.0;0.0;0.0;193.0
86;2-Methoxy-2-methylbutane;CCC(C)(C)OC;136.0;4.0;21.0;0.0;0.0;0.0;19.0;180.0
96;2-(2-Ethoxyethoxy)ethanol;CCOCCOCCO;84.0;0.0;76.0;0.0;17.0;0.0;0.0;177.0
84;benzene-1,3-diol;Oc1cccc(O)c1;142.0;0.0;35.0;0.0;0.0;0.0;0.0;177.0
74;Cyclohexylmethanol;OCC1CCCCC1;176.0;0.0;0.0;0.0;0.0;0.0;0.0;176.0
75;2-Cyclohexylethanol;OCCC1CCCCC1;175.0;0.0;0.0;0.0;0.0;0.0;0.0;175.0
88;2-Ethylhexan-1-ol;CCCCC(CC)CO;116.0;0.0;58.0;0.0;0.0;0.0;0.0;174.0
76;ethoxymethoxyethane;CCOCOCC;173.0;0.0;0.0;0.0;0.0;0.0;0.0;173.0
82;2,2-Dimethylpropane-1,3-diol;CC(C)(CO)CO;156.0;0.0;0.0;0.0;0.0;0.0;0.0;156.0
81;Cyclooctanol;OC1CCCCCCC1;156.0;0.0;0.0;0.0;0.0;0.0;0.0;156.0
102;2-[2-(2-hydroxyethoxy)ethoxy]ethanol;OCCOCCOCCO;65.0;47.0;0.0;39.0;0.0;0.0;0.0;151.0
85;3-METHYLPENTANE-1,5-DIOL;CC(CCO)CCO;138.0;0.0;0.0;0.0;0.0;0.0;0.0;138.0
94;hexan-2-ol;CCCCC(C)O;90.0;0.0;42.0;0.0;0.0;0.0;0.0;132.0
114;2-Methyloxolane;CC1CCCO1;27.0;0.0;45.0;0.0;44.0;0.0;0.0;116.0
89;hexane-2,5-diol;CC(O)CCC(C)O;114.0;0.0;0.0;0.0;0.0;0.0;0.0;114.0
90;1,2,3,4-Tetrahydronaphthalene;C1CCc2ccccc2C1;100.0;0.0;9.0;0.0;0.0;0.0;0.0;109.0
91;2-methylpropylbenzene;CC(C)Cc1ccccc1;100.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0
128;Methoxymethane;COC;0.0;23.0;0.0;0.0;76.0;0.0;0.0;99.0
103;octan-2-ol;CCCCCCC(C)O;55.0;0.0;42.0;0.0;0.0;0.0;0.0;97.0
105;2-(2-Methylpropoxy)ethanol;CC(C)COCCO;45.0;0.0;45.0;0.0;0.0;0.0;0.0;90.0
109;Ethoxybenzene;CCOc1ccccc1;37.0;0.0;0.0;0.0;51.0;0.0;0.0;88.0
97;1,2,4-Trimethylbenzene;Cc1ccc(C)c(C)c1;84.0;0.0;0.0;0.0;0.0;0.0;0.0;84.0
106;heptan-2-ol;CCCCCC(C)O;42.0;0.0;42.0;0.0;0.0;0.0;0.0;84.0
107;benzene-1,2-diol;Oc1ccccc1O;40.0;0.0;40.0;0.0;0.0;0.0;0.0;80.0
138;1-propoxypropane;CCCOCCC;0.0;0.0;0.0;0.0;79.0;0.0;0.0;79.0
98;Hexane-1,5-diol;CC(O)CCCCO;75.0;0.0;0.0;0.0;0.0;0.0;0.0;75.0
110;2-Methylphenol;Cc1ccccc1O;32.0;3.0;32.0;0.0;0.0;0.0;0.0;67.0
99;Butylcyclohexane;CCCCC1CCCCC1;66.0;0.0;0.0;0.0;0.0;0.0;0.0;66.0
101;1,2,4-Trimethylcyclohexane;CC1CCC(C)C(C)C1;66.0;0.0;0.0;0.0;0.0;0.0;0.0;66.0
100;Ethylcyclohexane;CCC1CCCCC1;66.0;0.0;0.0;0.0;0.0;0.0;0.0;66.0
104;FURAN;o1cccc1;54.0;9.0;0.0;0.0;0.0;0.0;0.0;63.0
139;2,3-Dimethylbutane;CC(C)C(C)C;0.0;0.0;0.0;0.0;63.0;0.0;0.0;63.0
140;2,2-Dimethylbutane;CCC(C)(C)C;0.0;0.0;0.0;0.0;62.0;0.0;0.0;62.0
112;oxolan-2-ylmethanol;OCC1CCCO1;30.0;0.0;30.0;0.0;0.0;0.0;0.0;60.0
113;2-Ethoxy-2-methylbutane;CCOC(C)(C)CC;27.0;4.0;0.0;0.0;27.0;0.0;0.0;58.0
116;3-Phenylpropan-1-ol;OCCCc1ccccc1;24.0;0.0;0.0;0.0;34.0;0.0;0.0;58.0
115;furan-2-ylmethanol;OCc1occc1;24.0;0.0;24.0;0.0;0.0;0.0;0.0;48.0
120;Ethoxyethane;CCOCC;22.0;0.0;23.0;0.0;0.0;0.0;0.0;45.0
108;(2S,4R)-pentane-1,2,3,4,5-pentol;OC[C@H](O)C(O)[C@H](O)CO;40.0;0.0;0.0;0.0;0.0;0.0;0.0;40.0
141;1-Methoxypropan-2-ol;COCC(C)O;0.0;0.0;0.0;0.0;38.0;0.0;0.0;38.0
117;;CC(O)C(C)O;24.0;0.0;0.0;0.0;0.0;0.0;14.0;38.0
123;2-propan-2-yloxyethanol;CC(C)OCCO;18.0;0.0;18.0;0.0;0.0;0.0;0.0;36.0
124;2-(2-methoxypropoxy)propan-1-ol;COC(C)COC(C)CO;18.0;0.0;18.0;0.0;0.0;0.0;0.0;36.0
111;ETHANE;CC;31.0;0.0;0.0;0.0;0.0;0.0;0.0;31.0
118;PHENOL;Oc1ccccc1;23.0;0.0;0.0;0.0;0.0;0.0;0.0;23.0
126;NAPHTHALENE;c1ccc2ccccc2c1;10.0;2.0;10.0;0.0;0.0;0.0;0.0;22.0
121;Propylbenzene;CCCc1ccccc1;22.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0
119;Butylbenzene;CCCCc1ccccc1;22.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0
129;BUTANE;CCCC;0.0;21.0;0.0;0.0;0.0;0.0;0.0;21.0
130;PROPANE;CCC;0.0;21.0;0.0;0.0;0.0;0.0;0.0;21.0
131;2-Methylpropane;CC(C)C;0.0;21.0;0.0;0.0;0.0;0.0;0.0;21.0
142;2-Methylpentane;CCCC(C)C;0.0;0.0;0.0;0.0;19.0;0.0;0.0;19.0
143;;CC1CO1;0.0;0.0;0.0;0.0;19.0;0.0;0.0;19.0
122;2,5-Dimethylfuran;Cc1oc(C)cc1;18.0;0.0;0.0;0.0;0.0;0.0;0.0;18.0
125;methane;C;12.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0
132;Pentan-3-ol;CCC(O)CC;0.0;11.0;0.0;0.0;0.0;0.0;0.0;11.0
133;3-Methylbutan-2-ol;CC(C)C(C)O;0.0;10.0;0.0;0.0;0.0;0.0;0.0;10.0
134;Pentane;CCCCC;0.0;6.0;0.0;0.0;0.0;0.0;0.0;6.0
135;Cycloheptane;C1CCCCCC1;0.0;6.0;0.0;0.0;0.0;0.0;0.0;6.0
127;oxiran-2-ylmethanol;OCC1CO1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
136;1-methyl-4-propan-2-ylbenzene;CC(C)c1ccc(C)cc1;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
137;Methylcyclopentane;CC1CCCC1;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
