,filename,x1,x2,smiles1,smiles2,components,Mole fraction,"Excess molar heat capacity, J/K/mol","Excess molar heat capacity, J/K/mol_std"
106228,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.713,-0.191,-0.00191
106229,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.713,-0.455,-0.00455
106230,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.713,-0.583,-0.00583
106231,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.713,-0.633,-0.00633
106232,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.713,-0.713,-0.00713
106233,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.713,-0.814,-0.00814
106234,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.713,-0.888,-0.00888
106235,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.713,-0.977,-0.00977
106236,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.713,-0.958,-0.00958
106237,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8323,-0.102,-0.00102
106238,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8323,-0.08,-0.0008
106239,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8323,-0.086,-0.00086
106240,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8323,-0.16,-0.0016
106241,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8323,-0.162,-0.00162
106242,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8323,-0.218,-0.00218
106243,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8323,-0.385,-0.00385
106244,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8323,-0.381,-0.00381
