,filename,x1,x2,smiles1,smiles2,components,Mole fraction,"Excess molar volume, m3/mol","Excess molar volume, m3/mol_std"
178270,j.jct.2009.11.018,"2,3-butanediol",water,CC(O)C(C)O,O,"2,3-butanediol__water",0.3426,-8.964e-07,-2.6892e-11
178271,j.jct.2009.11.018,"2,3-butanediol",water,CC(O)C(C)O,O,"2,3-butanediol__water",0.3913,-8.822e-07,-2.6466e-11
178272,j.jct.2009.11.018,"2,3-butanediol",water,CC(O)C(C)O,O,"2,3-butanediol__water",0.4524,-8.455e-07,-2.5365e-11
178273,j.jct.2009.11.018,"2,3-butanediol",water,CC(O)C(C)O,O,"2,3-butanediol__water",0.5308,-7.732e-07,-2.3196e-11
178274,j.jct.2009.11.018,"2,3-butanediol",water,CC(O)C(C)O,O,"2,3-butanediol__water",0.6352,-6.343e-07,-1.9029e-11
178275,j.jct.2009.11.018,"2,3-butanediol",water,CC(O)C(C)O,O,"2,3-butanediol__water",0.7805,-4.156e-07,-1.2468e-11
178276,j.jct.2009.11.018,"2,3-butanediol",water,CC(O)C(C)O,O,"2,3-butanediol__water",0.9001,-1.925e-07,-5.775e-12
189562,j.jct.2010.05.009,2-methyl-2-butanol,tetrahydrofuran,CCC(C)(C)O,C1CCOC1,2-methyl-2-butanol__tetrahydrofuran,0.0,0.0,0.0
189563,j.jct.2010.05.009,2-methyl-2-butanol,tetrahydrofuran,CCC(C)(C)O,C1CCOC1,2-methyl-2-butanol__tetrahydrofuran,0.1028,1.148e-07,5.74e-10
189564,j.jct.2010.05.009,2-methyl-2-butanol,tetrahydrofuran,CCC(C)(C)O,C1CCOC1,2-methyl-2-butanol__tetrahydrofuran,0.1791,1.736e-07,8.68e-10
189565,j.jct.2010.05.009,2-methyl-2-butanol,tetrahydrofuran,CCC(C)(C)O,C1CCOC1,2-methyl-2-butanol__tetrahydrofuran,0.2676,1.999e-07,9.995e-10
189566,j.jct.2010.05.009,2-methyl-2-butanol,tetrahydrofuran,CCC(C)(C)O,C1CCOC1,2-methyl-2-butanol__tetrahydrofuran,0.3601,1.939e-07,9.695e-10
189567,j.jct.2010.05.009,2-methyl-2-butanol,tetrahydrofuran,CCC(C)(C)O,C1CCOC1,2-methyl-2-butanol__tetrahydrofuran,0.45,1.575e-07,7.875e-10
189568,j.jct.2010.05.009,2-methyl-2-butanol,tetrahydrofuran,CCC(C)(C)O,C1CCOC1,2-methyl-2-butanol__tetrahydrofuran,0.5402,9.74e-08,4.87e-10
189569,j.jct.2010.05.009,2-methyl-2-butanol,tetrahydrofuran,CCC(C)(C)O,C1CCOC1,2-methyl-2-butanol__tetrahydrofuran,0.6295,1.64e-08,8.2e-11
189570,j.jct.2010.05.009,2-methyl-2-butanol,tetrahydrofuran,CCC(C)(C)O,C1CCOC1,2-methyl-2-butanol__tetrahydrofuran,0.7058,-5.26e-08,-2.63e-10
189571,j.jct.2010.05.009,2-methyl-2-butanol,tetrahydrofuran,CCC(C)(C)O,C1CCOC1,2-methyl-2-butanol__tetrahydrofuran,0.8097,-1.473e-07,-7.365e-10
189572,j.jct.2010.05.009,2-methyl-2-butanol,tetrahydrofuran,CCC(C)(C)O,C1CCOC1,2-methyl-2-butanol__tetrahydrofuran,0.8903,-1.587e-07,-7.935e-10
189573,j.jct.2010.05.009,2-methyl-2-butanol,tetrahydrofuran,CCC(C)(C)O,C1CCOC1,2-methyl-2-butanol__tetrahydrofuran,0.9629,-9.01e-08,-4.505e-10
189574,j.jct.2010.05.009,2-methyl-2-butanol,tetrahydrofuran,CCC(C)(C)O,C1CCOC1,2-methyl-2-butanol__tetrahydrofuran,1.0,0.0,0.0
189575,j.jct.2010.05.009,2-methyl-2-butanol,tetrahydrofuran,CCC(C)(C)O,C1CCOC1,2-methyl-2-butanol__tetrahydrofuran,0.0,0.0,0.0
189576,j.jct.2010.05.009,2-methyl-2-butanol,tetrahydrofuran,CCC(C)(C)O,C1CCOC1,2-methyl-2-butanol__tetrahydrofuran,0.1028,1.102e-07,5.51e-10
189577,j.jct.2010.05.009,2-methyl-2-butanol,tetrahydrofuran,CCC(C)(C)O,C1CCOC1,2-methyl-2-butanol__tetrahydrofuran,0.1791,1.659e-07,8.295e-10
189578,j.jct.2010.05.009,2-methyl-2-butanol,tetrahydrofuran,CCC(C)(C)O,C1CCOC1,2-methyl-2-butanol__tetrahydrofuran,0.2676,1.885e-07,9.425e-10
189579,j.jct.2010.05.009,2-methyl-2-butanol,tetrahydrofuran,CCC(C)(C)O,C1CCOC1,2-methyl-2-butanol__tetrahydrofuran,0.3601,1.786e-07,8.93e-10
189580,j.jct.2010.05.009,2-methyl-2-butanol,tetrahydrofuran,CCC(C)(C)O,C1CCOC1,2-methyl-2-butanol__tetrahydrofuran,0.45,1.376e-07,6.88e-10
189581,j.jct.2010.05.009,2-methyl-2-butanol,tetrahydrofuran,CCC(C)(C)O,C1CCOC1,2-methyl-2-butanol__tetrahydrofuran,0.5402,7.71e-08,3.855e-10
189582,j.jct.2010.05.009,2-methyl-2-butanol,tetrahydrofuran,CCC(C)(C)O,C1CCOC1,2-methyl-2-butanol__tetrahydrofuran,0.6295,-6e-09,-3e-11
189583,j.jct.2010.05.009,2-methyl-2-butanol,tetrahydrofuran,CCC(C)(C)O,C1CCOC1,2-methyl-2-butanol__tetrahydrofuran,0.7058,-7.27e-08,-3.635e-10
189584,j.jct.2010.05.009,2-methyl-2-butanol,tetrahydrofuran,CCC(C)(C)O,C1CCOC1,2-methyl-2-butanol__tetrahydrofuran,0.8097,-1.562e-07,-7.81e-10
189585,j.jct.2010.05.009,2-methyl-2-butanol,tetrahydrofuran,CCC(C)(C)O,C1CCOC1,2-methyl-2-butanol__tetrahydrofuran,0.8903,-1.548e-07,-7.74e-10
189586,j.jct.2010.05.009,2-methyl-2-butanol,tetrahydrofuran,CCC(C)(C)O,C1CCOC1,2-methyl-2-butanol__tetrahydrofuran,0.9629,-7.16e-08,-3.58e-10
189587,j.jct.2010.05.009,2-methyl-2-butanol,tetrahydrofuran,CCC(C)(C)O,C1CCOC1,2-methyl-2-butanol__tetrahydrofuran,1.0,0.0,0.0
189588,j.jct.2010.05.009,2-methyl-2-butanol,tetrahydrofuran,CCC(C)(C)O,C1CCOC1,2-methyl-2-butanol__tetrahydrofuran,0.0,0.0,0.0
189589,j.jct.2010.05.009,2-methyl-2-butanol,tetrahydrofuran,CCC(C)(C)O,C1CCOC1,2-methyl-2-butanol__tetrahydrofuran,0.1028,1.048e-07,5.24e-10
189590,j.jct.2010.05.009,2-methyl-2-butanol,tetrahydrofuran,CCC(C)(C)O,C1CCOC1,2-methyl-2-butanol__tetrahydrofuran,0.1791,1.574e-07,7.87e-10
189591,j.jct.2010.05.009,2-methyl-2-butanol,tetrahydrofuran,CCC(C)(C)O,C1CCOC1,2-methyl-2-butanol__tetrahydrofuran,0.2676,1.761e-07,8.805e-10
189592,j.jct.2010.05.009,2-methyl-2-butanol,tetrahydrofuran,CCC(C)(C)O,C1CCOC1,2-methyl-2-butanol__tetrahydrofuran,0.3601,1.629e-07,8.145e-10
189593,j.jct.2010.05.009,2-methyl-2-butanol,tetrahydrofuran,CCC(C)(C)O,C1CCOC1,2-methyl-2-butanol__tetrahydrofuran,0.45,1.197e-07,5.985e-10
189594,j.jct.2010.05.009,2-methyl-2-butanol,tetrahydrofuran,CCC(C)(C)O,C1CCOC1,2-methyl-2-butanol__tetrahydrofuran,0.5402,5.88e-08,2.94e-10
189595,j.jct.2010.05.009,2-methyl-2-butanol,tetrahydrofuran,CCC(C)(C)O,C1CCOC1,2-methyl-2-butanol__tetrahydrofuran,0.6295,-2.25e-08,-1.125e-10
189596,j.jct.2010.05.009,2-methyl-2-butanol,tetrahydrofuran,CCC(C)(C)O,C1CCOC1,2-methyl-2-butanol__tetrahydrofuran,0.7058,-8.48e-08,-4.24e-10
189597,j.jct.2010.05.009,2-methyl-2-butanol,tetrahydrofuran,CCC(C)(C)O,C1CCOC1,2-methyl-2-butanol__tetrahydrofuran,0.8097,-1.585e-07,-7.925e-10
189598,j.jct.2010.05.009,2-methyl-2-butanol,tetrahydrofuran,CCC(C)(C)O,C1CCOC1,2-methyl-2-butanol__tetrahydrofuran,0.8903,-1.471e-07,-7.355e-10
189599,j.jct.2010.05.009,2-methyl-2-butanol,tetrahydrofuran,CCC(C)(C)O,C1CCOC1,2-methyl-2-butanol__tetrahydrofuran,0.9629,-8.1e-08,-4.05e-10
