,filename,components,smiles,"Temperature, K","Pressure, kPa","Mass density, kg/m3","Mass density, kg/m3_std","Speed of sound, m/s","Speed of sound, m/s_std",Relative permittivity at zero frequency,Relative permittivity at zero frequency_std,"Specific heat capacity at constant pressure, J/K/kg","Specific heat capacity at constant pressure, J/K/kg_std","Molar heat capacity at constant pressure, J/K/mol","Molar heat capacity at constant pressure, J/K/mol_std","Molar heat capacity at constant volume, J/K/mol","Molar heat capacity at constant volume, J/K/mol_std","Molar volume, m3/mol","Molar volume, m3/mol_std"
4500,j.jct.2004.07.015,2-methyl-2-propanol,CC(C)(C)O,313.15,101.325,,,1057.4,,,,,,,,,,,
7554,j.jct.2004.07.023,ethyl orthoformate,CCOC([O-])[O-],293.15,101.325,891.1,,,,,,,,,,,,,
7632,j.jct.2004.07.024,benzene,c1ccccc1,298.15,101.325,873.56,,,,,,,,,,,,,
7634,j.jct.2004.07.024,toluene,Cc1ccccc1,298.15,101.325,862.14,,,,,,,,,,,,,
7636,j.jct.2004.07.024,ethylbenzene,CCc1ccccc1,298.15,101.325,862.44,,,,,,,,,,,,,
9654,j.jct.2004.08.003,nonane,CCCCCCCCC,288.15,101.325,721.77,,,,,,,,,,,,,
9655,j.jct.2004.08.003,nonane,CCCCCCCCC,293.15,101.325,717.76,,,,,,,,,,,,,
9656,j.jct.2004.08.003,nonane,CCCCCCCCC,298.15,101.325,713.77,,,,,,,,,,,,,
9657,j.jct.2004.08.003,nonane,CCCCCCCCC,303.15,101.325,709.89,,,,,,,,,,,,,
9658,j.jct.2004.08.003,nonane,CCCCCCCCC,308.15,101.325,706.2,,,,,,,,,,,,,
9659,j.jct.2004.08.003,nonane,CCCCCCCCC,318.15,101.325,698.14,,,,,,,,,,,,,
9660,j.jct.2004.08.003,nonane,CCCCCCCCC,328.15,101.325,690.14,,,,,,,,,,,,,
10545,j.jct.2004.08.012,1-butanol,CCCCO,293.15,101.325,809.62,,,,,,,,,,,,,
10548,j.jct.2004.08.012,octane,CCCCCCCC,293.15,101.325,702.44,,,,,,,,,,,,,
11638,j.jct.2004.09.007,1-butanol,CCCCO,298.15,101.325,805.82,,,,,,,,,,,,,
11639,j.jct.2004.09.007,1-butanol,CCCCO,285.15,101.3,,,,,,,168.64,,,,,,,
11640,j.jct.2004.09.007,1-butanol,CCCCO,285.65,101.3,,,,,,,169.01,,,,,,,
11641,j.jct.2004.09.007,1-butanol,CCCCO,288.15,101.3,,,,,,,170.39,,,,,,,
11642,j.jct.2004.09.007,1-butanol,CCCCO,290.65,101.3,,,,,,,172.0,,,,,,,
11643,j.jct.2004.09.007,1-butanol,CCCCO,293.15,101.3,,,,,,,173.56,,,,,,,
11644,j.jct.2004.09.007,1-butanol,CCCCO,295.65,101.3,,,,,,,175.19,,,,,,,
11645,j.jct.2004.09.007,1-butanol,CCCCO,298.15,101.3,,,,,,,176.82,,,,,,,
11646,j.jct.2004.09.007,1-butanol,CCCCO,300.65,101.3,,,,,,,178.53,,,,,,,
11647,j.jct.2004.09.007,1-butanol,CCCCO,303.15,101.3,,,,,,,180.42,,,,,,,
11648,j.jct.2004.09.007,1-butanol,CCCCO,305.65,101.3,,,,,,,182.27,,,,,,,
11649,j.jct.2004.09.007,1-butanol,CCCCO,308.15,101.3,,,,,,,184.15,,,,,,,
11650,j.jct.2004.09.007,1-butanol,CCCCO,310.65,101.3,,,,,,,186.08,,,,,,,
11651,j.jct.2004.09.007,1-butanol,CCCCO,313.15,101.3,,,,,,,187.99,,,,,,,
11652,j.jct.2004.09.007,1-butanol,CCCCO,315.65,101.3,,,,,,,189.99,,,,,,,
11653,j.jct.2004.09.007,1-butanol,CCCCO,318.15,101.3,,,,,,,192.06,,,,,,,
11654,j.jct.2004.09.007,1-butanol,CCCCO,320.65,101.3,,,,,,,194.2,,,,,,,
