,filename,components,smiles,"Molar heat capacity at constant pressure, J/K/mol","Molar heat capacity at constant pressure, J/K/mol_std"
106113,j.jct.2007.04.011,"1,2-butanediol",CCC(O)CO,244.18,0.61045
106114,j.jct.2007.04.011,"1,2-butanediol",CCC(O)CO,246.72,0.6168
106115,j.jct.2007.04.011,"1,2-butanediol",CCC(O)CO,249.2,0.623
106116,j.jct.2007.04.011,"1,2-butanediol",CCC(O)CO,251.63,0.629075
106117,j.jct.2007.04.011,"1,2-butanediol",CCC(O)CO,254,0.635
106118,j.jct.2007.04.011,"1,2-butanediol",CCC(O)CO,256.29,0.640725
106119,j.jct.2007.04.011,"1,2-butanediol",CCC(O)CO,258.5,0.64625
106120,j.jct.2007.04.011,"1,2-butanediol",CCC(O)CO,260.63,0.651575
106122,j.jct.2007.04.011,hexylene glycol,OCCCCCCO,263.09,0.394635
106123,j.jct.2007.04.011,hexylene glycol,OCCCCCCO,267.1,0.40065
106124,j.jct.2007.04.011,hexylene glycol,OCCCCCCO,271.31,0.406965
106125,j.jct.2007.04.011,hexylene glycol,OCCCCCCO,275.53,0.413295
106126,j.jct.2007.04.011,hexylene glycol,OCCCCCCO,279.94,0.41991
106127,j.jct.2007.04.011,hexylene glycol,OCCCCCCO,284.5,0.42675
106128,j.jct.2007.04.011,hexylene glycol,OCCCCCCO,289.17,0.433755
106129,j.jct.2007.04.011,hexylene glycol,OCCCCCCO,293.9,0.44085
106130,j.jct.2007.04.011,hexylene glycol,OCCCCCCO,298.68,0.44802
106131,j.jct.2007.04.011,hexylene glycol,OCCCCCCO,303.35,0.455025
106132,j.jct.2007.04.011,hexylene glycol,OCCCCCCO,313.68,0.47052
114781,j.jct.2007.07.001,methanol,CO,78.6,3.777735294
114782,j.jct.2007.07.001,methanol,CO,79.5,3.820991805
114783,j.jct.2007.07.001,methanol,CO,80.4,3.864248316
114784,j.jct.2007.07.001,methanol,CO,81.3,3.907504827
114785,j.jct.2007.07.001,methanol,CO,82.3,3.955567617
114786,j.jct.2007.07.001,methanol,CO,83.4,4.008436686
114787,j.jct.2007.07.001,methanol,CO,84.5,4.061305755
114788,j.jct.2007.07.001,methanol,CO,85.7,4.118981103
114789,j.jct.2007.07.001,methanol,CO,87,4.18146273
146653,j.jct.2008.10.002,water,O,75.4,0.2262
146654,j.jct.2008.10.002,water,O,75.3,0.2259
146655,j.jct.2008.10.002,water,O,75.3,0.2259
146656,j.jct.2008.10.002,water,O,75.2,0.2256
146657,j.jct.2008.10.002,water,O,75.2,0.2256
146658,j.jct.2008.10.002,water,O,75.3,0.2259
148497,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,233.4,0.3501
148498,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,234.44,0.35166
148499,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,235.36,0.35304
148500,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,236.15,0.354225
148501,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,237.23,0.355845
148502,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,238.19,0.357285
148503,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,239.11,0.358665
148504,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,240.18,0.36027
148505,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,241.19,0.361785
148506,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,242.22,0.36333
148507,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,243.25,0.364875
148508,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,244.25,0.366375
148509,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,245.3,0.36795
148510,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,246.36,0.36954
148511,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,247.43,0.371145
148512,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,247.45,0.371175
148513,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,248.43,0.372645
148514,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,249.45,0.374175
148515,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,250.56,0.37584
148516,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,251.71,0.377565
148517,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,252.8,0.3792
148518,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,253.86,0.38079
148519,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,255.01,0.382515
148520,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,256.09,0.384135
148521,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,257.16,0.38574
148522,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,258.22,0.38733
148523,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,259.29,0.388935
148524,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,260.36,0.39054
148525,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,261.32,0.39198
148526,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,262.41,0.393615
148527,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,263.51,0.395265
148528,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,264.5,0.39675
148529,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,265.53,0.398295
148530,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,266.49,0.399735
148531,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,267.5,0.40125
148532,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,268.57,0.402855
148533,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,269.56,0.40434
148534,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,270.43,0.405645
148535,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,271.49,0.407235
148536,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,272.37,0.408555
148537,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,273.32,0.40998
148538,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,274.25,0.411375
148539,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,275.15,0.412725
148540,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,276.09,0.414135
148541,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,276.89,0.415335
148542,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,277.86,0.41679
148543,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,278.7,0.41805
148544,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,279.59,0.419385
148545,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,280.35,0.420525
148546,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,281.18,0.42177
148547,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,282.05,0.423075
148548,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,283,0.4245
148549,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,283.68,0.42552
148550,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,284.35,0.426525
148551,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,285.19,0.427785
148552,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,285.94,0.42891
148553,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,286.59,0.429885
148554,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,287.37,0.431055
148555,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,287.88,0.43182
148556,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,288.59,0.432885
148557,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,289.15,0.433725
148558,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,289.83,0.434745
148559,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,290.42,0.43563
148560,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,290.94,0.43641
148561,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,291.42,0.43713
148562,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,292.03,0.438045
148563,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,292.61,0.438915
148564,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,293.03,0.439545
148565,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,293.51,0.440265
148566,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,293.87,0.440805
148567,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,294.39,0.441585
148568,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,294.87,0.442305
148569,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,295.24,0.44286
148570,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,295.66,0.44349
148571,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,296.1,0.44415
148572,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,296.36,0.44454
148573,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,296.72,0.44508
148574,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,296.98,0.44547
148575,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,297.18,0.44577
148576,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,297.48,0.44622
148577,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,297.69,0.446535
148578,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,297.95,0.446925
148579,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,298.16,0.44724
148580,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,298.39,0.447585
148581,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,298.46,0.44769
148582,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,298.75,0.448125
148583,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,298.79,0.448185
148584,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,247.44,0.37116
230728,j.jct.2011.06.019,ethanol,CCO,103.1,0.5155
230729,j.jct.2011.06.019,ethanol,CCO,110.2,0.551
230730,j.jct.2011.06.019,ethanol,CCO,118,0.59
230731,j.jct.2011.06.019,ethanol,CCO,129.1,0.6455
230732,j.jct.2011.06.019,ethanol,CCO,102.1,0.5105
230733,j.jct.2011.06.019,ethanol,CCO,109,0.545
230734,j.jct.2011.06.019,ethanol,CCO,116.8,0.584
230735,j.jct.2011.06.019,ethanol,CCO,127.7,0.6385
230736,j.jct.2011.06.019,ethanol,CCO,101.7,0.5085
230737,j.jct.2011.06.019,ethanol,CCO,108.1,0.5405
230738,j.jct.2011.06.019,ethanol,CCO,115.5,0.5775
230739,j.jct.2011.06.019,ethanol,CCO,126,0.63
230740,j.jct.2011.06.019,ethanol,CCO,100.7,0.5035
230741,j.jct.2011.06.019,ethanol,CCO,107.4,0.537
230742,j.jct.2011.06.019,ethanol,CCO,114.9,0.5745
230743,j.jct.2011.06.019,ethanol,CCO,124.7,0.6235
230748,j.jct.2011.06.019,heptane,CCCCCCC,213.1,1.0655
230749,j.jct.2011.06.019,heptane,CCCCCCC,223,1.115
230750,j.jct.2011.06.019,heptane,CCCCCCC,230.3,1.1515
230751,j.jct.2011.06.019,heptane,CCCCCCC,238.7,1.1935
230752,j.jct.2011.06.019,heptane,CCCCCCC,210.9,1.0545
230753,j.jct.2011.06.019,heptane,CCCCCCC,218.2,1.091
230754,j.jct.2011.06.019,heptane,CCCCCCC,226.2,1.131
230755,j.jct.2011.06.019,heptane,CCCCCCC,235,1.175
230756,j.jct.2011.06.019,heptane,CCCCCCC,208.1,1.0405
230757,j.jct.2011.06.019,heptane,CCCCCCC,216.8,1.084
230758,j.jct.2011.06.019,heptane,CCCCCCC,223.1,1.1155
230759,j.jct.2011.06.019,heptane,CCCCCCC,232,1.16
230760,j.jct.2011.06.019,heptane,CCCCCCC,207.2,1.036
230761,j.jct.2011.06.019,heptane,CCCCCCC,214.4,1.072
230762,j.jct.2011.06.019,heptane,CCCCCCC,221.6,1.108
230763,j.jct.2011.06.019,heptane,CCCCCCC,229.3,1.1465
235689,j.jct.2011.08.012,2-methylheptane,CCCCCC(C)C,233.8,1.169
235690,j.jct.2011.08.012,2-methylheptane,CCCCCC(C)C,231.7,1.1585
235691,j.jct.2011.08.012,2-methylheptane,CCCCCC(C)C,229.1,1.1455
235692,j.jct.2011.08.012,2-methylheptane,CCCCCC(C)C,228,1.14
235693,j.jct.2011.08.012,2-methylheptane,CCCCCC(C)C,224.8,1.124
235695,j.jct.2011.08.012,2-methylheptane,CCCCCC(C)C,246.8,1.234
235696,j.jct.2011.08.012,2-methylheptane,CCCCCC(C)C,245.1,1.2255
235697,j.jct.2011.08.012,2-methylheptane,CCCCCC(C)C,243.2,1.216
235698,j.jct.2011.08.012,2-methylheptane,CCCCCC(C)C,240.8,1.204
235699,j.jct.2011.08.012,2-methylheptane,CCCCCC(C)C,235.1,1.1755
235834,j.jct.2011.08.012,1-butanol,CCCCO,158.7,0.7935
235835,j.jct.2011.08.012,1-butanol,CCCCO,158.4,0.792
235836,j.jct.2011.08.012,1-butanol,CCCCO,158.2,0.791
235837,j.jct.2011.08.012,1-butanol,CCCCO,157.9,0.7895
235838,j.jct.2011.08.012,1-butanol,CCCCO,157.2,0.786
235840,j.jct.2011.08.012,1-butanol,CCCCO,173.9,0.8695
235841,j.jct.2011.08.012,1-butanol,CCCCO,172.8,0.864
235842,j.jct.2011.08.012,1-butanol,CCCCO,173.5,0.8675
235843,j.jct.2011.08.012,1-butanol,CCCCO,172.1,0.8605
235844,j.jct.2011.08.012,1-butanol,CCCCO,171.7,0.8585
235846,j.jct.2011.08.012,1-butanol,CCCCO,189.8,0.949
235847,j.jct.2011.08.012,1-butanol,CCCCO,189,0.945
235848,j.jct.2011.08.012,1-butanol,CCCCO,187.6,0.938
235849,j.jct.2011.08.012,1-butanol,CCCCO,186.7,0.9335
235850,j.jct.2011.08.012,1-butanol,CCCCO,186,0.93
235852,j.jct.2011.08.012,1-butanol,CCCCO,206.5,1.0325
235853,j.jct.2011.08.012,1-butanol,CCCCO,204.9,1.0245
235854,j.jct.2011.08.012,1-butanol,CCCCO,202,1.01
235855,j.jct.2011.08.012,1-butanol,CCCCO,200.7,1.0035
235856,j.jct.2011.08.012,1-butanol,CCCCO,199.9,0.9995
287945,j.jct.2012.07.018,cyclohexane,C1CCCCC1,152,0.76
287946,j.jct.2012.07.018,cyclohexane,C1CCCCC1,160.7,0.8035
287947,j.jct.2012.07.018,cyclohexane,C1CCCCC1,169.1,0.8455
287948,j.jct.2012.07.018,cyclohexane,C1CCCCC1,151.1,0.7555
287949,j.jct.2012.07.018,cyclohexane,C1CCCCC1,158.8,0.794
287950,j.jct.2012.07.018,cyclohexane,C1CCCCC1,166.8,0.834
287951,j.jct.2012.07.018,cyclohexane,C1CCCCC1,149.9,0.7495
287952,j.jct.2012.07.018,cyclohexane,C1CCCCC1,157.3,0.7865
287953,j.jct.2012.07.018,cyclohexane,C1CCCCC1,164.9,0.8245
287954,j.jct.2012.07.018,cyclohexane,C1CCCCC1,148.7,0.7435
287955,j.jct.2012.07.018,cyclohexane,C1CCCCC1,155.9,0.7795
287956,j.jct.2012.07.018,cyclohexane,C1CCCCC1,163.4,0.817
298653,j.jct.2012.09.027,2-ethyl-1-butanol,CCC(CC)CO,245,2.45
298654,j.jct.2012.09.027,2-ethyl-1-butanol,CCC(CC)CO,250.7,2.507
298655,j.jct.2012.09.027,2-ethyl-1-butanol,CCC(CC)CO,256.4,2.564
298656,j.jct.2012.09.027,2-ethyl-1-butanol,CCC(CC)CO,262.1,2.621
298657,j.jct.2012.09.027,2-ethyl-1-butanol,CCC(CC)CO,267.9,2.679
298658,j.jct.2012.09.027,2-ethyl-1-butanol,CCC(CC)CO,273.6,2.736
298659,j.jct.2012.09.027,2-ethyl-1-butanol,CCC(CC)CO,279.2,2.792
351887,j.jct.2013.08.033,1-butanol,CCCCO,167.32,3.3464
351888,j.jct.2013.08.033,1-butanol,CCCCO,170.35,3.407
351889,j.jct.2013.08.033,1-butanol,CCCCO,173.54,3.4708
351890,j.jct.2013.08.033,1-butanol,CCCCO,176.9,3.538
351891,j.jct.2013.08.033,1-butanol,CCCCO,180.41,3.6082
351892,j.jct.2013.08.033,1-butanol,CCCCO,184.09,3.6818
351893,j.jct.2013.08.033,1-butanol,CCCCO,187.93,3.7586
351894,j.jct.2013.08.033,1-butanol,CCCCO,191.93,3.8386
351901,j.jct.2013.08.033,"1,2-butanediol",CCC(O)CO,222.86,4.4572
351902,j.jct.2013.08.033,"1,2-butanediol",CCC(O)CO,225.62,4.5124
351903,j.jct.2013.08.033,"1,2-butanediol",CCC(O)CO,228.35,4.567
351904,j.jct.2013.08.033,"1,2-butanediol",CCC(O)CO,231.06,4.6212
351905,j.jct.2013.08.033,"1,2-butanediol",CCC(O)CO,233.74,4.6748
351906,j.jct.2013.08.033,"1,2-butanediol",CCC(O)CO,236.4,4.728
351907,j.jct.2013.08.033,"1,2-butanediol",CCC(O)CO,239.05,4.781
351908,j.jct.2013.08.033,"1,2-butanediol",CCC(O)CO,241.66,4.8332
382661,j.jct.2014.01.020,cyclohexane,C1CCCCC1,153.8,0.769
382662,j.jct.2014.01.020,cyclohexane,C1CCCCC1,152.5,0.7625
382663,j.jct.2014.01.020,cyclohexane,C1CCCCC1,150.5,0.7525
382664,j.jct.2014.01.020,cyclohexane,C1CCCCC1,149.7,0.7485
382665,j.jct.2014.01.020,cyclohexane,C1CCCCC1,147.7,0.7385
382666,j.jct.2014.01.020,cyclohexane,C1CCCCC1,154.6,0.773
413465,j.jct.2014.07.023,methanol,CO,81.38,1.6276
413466,j.jct.2014.07.023,methanol,CO,80.45711046,1.6091422092
413467,j.jct.2014.07.023,methanol,CO,81.3863244,1.627726488
413468,j.jct.2014.07.023,methanol,CO,82.37962206,1.6475924412
413469,j.jct.2014.07.023,methanol,CO,83.43700344,1.6687400688
413470,j.jct.2014.07.023,methanol,CO,84.55846854,1.6911693708
413471,j.jct.2014.07.023,methanol,CO,85.77605922,1.7155211844
413472,j.jct.2014.07.023,methanol,CO,87.02569176,1.7405138352
413473,j.jct.2014.07.023,"1,2-butanediol",CCC(O)CO,230.82,4.6164
413474,j.jct.2014.07.023,"1,2-butanediol",CCC(O)CO,228.096251,4.56192502
413475,j.jct.2014.07.023,"1,2-butanediol",CCC(O)CO,230.799881,4.61599762
413476,j.jct.2014.07.023,"1,2-butanediol",CCC(O)CO,233.503511,4.67007022
413477,j.jct.2014.07.023,"1,2-butanediol",CCC(O)CO,236.207141,4.72414282
413478,j.jct.2014.07.023,"1,2-butanediol",CCC(O)CO,238.910771,4.77821542
413479,j.jct.2014.07.023,"1,2-butanediol",CCC(O)CO,241.52428,4.8304856
413480,j.jct.2014.07.023,"1,2-butanediol",CCC(O)CO,244.22791,4.8845582
413481,j.jct.2014.07.023,"1,3-butanediol",CC(O)CCO,218.89,4.3778
413482,j.jct.2014.07.023,"1,3-butanediol",CC(O)CCO,215.839795,4.3167959
413483,j.jct.2014.07.023,"1,3-butanediol",CC(O)CCO,218.903909,4.37807818
413484,j.jct.2014.07.023,"1,3-butanediol",CC(O)CCO,222.058144,4.44116288
413485,j.jct.2014.07.023,"1,3-butanediol",CC(O)CCO,225.212379,4.50424758
413486,j.jct.2014.07.023,"1,3-butanediol",CC(O)CCO,228.366614,4.56733228
413487,j.jct.2014.07.023,"1,3-butanediol",CC(O)CCO,231.61097,4.6322194
413488,j.jct.2014.07.023,"1,3-butanediol",CC(O)CCO,234.855326,4.69710652
413489,j.jct.2014.07.023,"1,4-butanediol",OCCCCO,203.79,4.0758
413490,j.jct.2014.07.023,"1,4-butanediol",OCCCCO,201.150072,4.02300144
413491,j.jct.2014.07.023,"1,4-butanediol",OCCCCO,203.763581,4.07527162
413492,j.jct.2014.07.023,"1,4-butanediol",OCCCCO,206.557332,4.13114664
413493,j.jct.2014.07.023,"1,4-butanediol",OCCCCO,209.441204,4.18882408
413494,j.jct.2014.07.023,"1,4-butanediol",OCCCCO,212.325076,4.24650152
