,filename,components,smiles,"Speed of sound, m/s","Speed of sound, m/s_std"
53647,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1396.1,1.3961
53648,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1443.3,1.4433
53649,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1487.1,1.4871
53650,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1529.7,1.5297
53651,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1568.8,1.5688
53652,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1606.2,1.6062
53653,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1641.7,1.6417
53654,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1675.9,1.6759
53656,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1254.9,1.2549
53657,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1311.8,1.3118
53658,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1365.0,1.365
53659,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1412.6,1.4126
53660,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1457.9,1.4579
53661,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1500.4,1.5004
53662,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1540.7,1.5407
53663,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1578.9,1.5789
53664,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1615.0,1.615
53665,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1650.0,1.65
53667,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1219.2,1.2192
53668,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1278.7,1.2787
53669,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1332.4,1.3324
53670,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1382.1,1.3821
53671,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1428.9,1.4289
53672,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1472.8,1.4728
53673,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1513.6,1.5136
53674,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1552.8,1.5528
53675,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1589.9,1.5899
53676,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1624.9,1.6249
53678,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1183.6,1.1836
53679,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1245.0,1.245
53680,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1300.4,1.3004
53681,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1351.9,1.3519
53682,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1399.7,1.3997
53683,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1444.4,1.4444
53684,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1486.1,1.4861
53685,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1525.6,1.5256
53686,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1563.8,1.5638
53687,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1599.9,1.5999
53689,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1148.0,1.148
53690,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1211.1,1.2111
53691,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1268.5,1.2685
53692,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1321.7,1.3217
53693,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1370.5,1.3705
53694,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1416.0,1.416
53695,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1458.4,1.4584
53696,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1499.4,1.4994
53697,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1537.9,1.5379
53698,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1574.6,1.5746
53700,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1111.6,1.1116
53701,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1177.7,1.1777
53702,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1236.9,1.2369
53703,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1291.4,1.2914
53704,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1342.1,1.3421
53705,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1387.8,1.3878
53706,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1431.2,1.4312
53707,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1472.7,1.4727
53708,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1511.9,1.5119
53709,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1549.3,1.5493
53711,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1076.2,1.0762
53712,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1144.6,1.1446
53713,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1205.4,1.2054
53714,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1261.4,1.2614
