;InChI;Count;Component;SMILES
29;InChIKey=QPRQEDXDYOZYLA-UHFFFAOYSA-N;43;2-Methylbutan-1-ol;CCC(C)CO
30;InChIKey=MSXVEPNJUHWQHW-UHFFFAOYSA-N;43;2-Methylbutan-2-ol;CCC(C)(C)O
31;InChIKey=URLKBWYHVLBVBO-UHFFFAOYSA-N;43;1,4-Dimethylbenzene;Cc1ccc(C)cc1
32;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;43;Oxolane;C1CCOC1
33;InChIKey=DNIAPMSPPWPWGF-UHFFFAOYSA-N;40;PROPANE-1,2-DIOL;CC(O)CO
34;InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N;33;2-Methoxy-2-methylpropane;COC(C)(C)C
35;InChIKey=RYHBNJHYFVUHQT-UHFFFAOYSA-N;32;1,4-Dioxane;C1COCCO1
36;InChIKey=CTQNGGLPUBDAKN-UHFFFAOYSA-N;31;1,2-Dimethylbenzene;Cc1ccccc1C
37;InChIKey=LYCAIKOWRPUZTN-UHFFFAOYSA-N;26;Ethane-1,2-diol;OCCO
38;InChIKey=VQKFNUFAXTZWDK-UHFFFAOYSA-N;25;2-Methylfuran;Cc1occc1
39;InChIKey=GSNUFIFRDBKVIE-UHFFFAOYSA-N;25;2,5-Dimethylfuran;Cc1oc(C)cc1
40;InChIKey=NUMQCACRALPSHD-UHFFFAOYSA-N;24;2-Ethoxy-2-methylpropane;CCOC(C)(C)C
41;InChIKey=ZAFNJMIOTHYJRJ-UHFFFAOYSA-N;22;2-propan-2-yloxypropane;CC(C)OC(C)C
42;InChIKey=IVSZLXZYQVIEFR-UHFFFAOYSA-N;22;1,3-Dimethylbenzene;Cc1cccc(C)c1
43;InChIKey=DIOQZVSQGTUSAI-UHFFFAOYSA-N;21;Decane;CCCCCCCCCC
44;InChIKey=DHXVGJBLRPWPCS-UHFFFAOYSA-N;19;['Oxane', '2,3,4,5-tetrahydropyran'];C1CCOCC1
45;InChIKey=TVMXDCGIABBOFY-UHFFFAOYSA-N;16;octane;CCCCCCCC
46;InChIKey=DKGAVHZHDRPRBM-UHFFFAOYSA-N;16;2-Methylpropan-2-ol;CC(C)(C)O
47;InChIKey=RGSFGYAAUTVSQA-UHFFFAOYSA-N;15;Cyclopentane;C1CCCC1
48;InChIKey=ZXEKIIBDNHEJCQ-UHFFFAOYSA-N;15;2-Methylpropan-1-ol;CC(C)CO
49;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;14;Ethylbenzene;CCc1ccccc1
50;InChIKey=CXWXQJXEFPUFDZ-UHFFFAOYSA-N;13;1,2,3,4-Tetrahydronaphthalene;C1CCc2ccccc2C1
51;InChIKey=BTANRVKWQNVYAZ-UHFFFAOYSA-N;13;Butan-2-ol;CCC(C)O
52;InChIKey=ZIBGPFATKBEMQZ-UHFFFAOYSA-N;12;2-[2-(2-hydroxyethoxy)ethoxy]ethanol;OCCOCCOCCO
53;InChIKey=WRMNZCZEMHIOCP-UHFFFAOYSA-N;12;2-PHENYLETHANOL;OCCc1ccccc1
54;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;12;2,2,4-Trimethylpentane;CC(C)CC(C)(C)C
55;InChIKey=MTHSVFCYNBDYFN-UHFFFAOYSA-N;12;2-(2-Hydroxyethoxy)ethanol;OCCOCCO
56;InChIKey=YLQBMQCUIZJEEH-UHFFFAOYSA-N;11;FURAN;o1cccc1
57;InChIKey=WNXJIVFYUVYPPR-UHFFFAOYSA-N;11;1,3-DIOXOLANE;C1COCO1
58;InChIKey=ZNQVEEAIQZEUHB-UHFFFAOYSA-N;11;2-Ethoxyethanol;CCOCCO
59;InChIKey=FENFUOGYJVOCRY-UHFFFAOYSA-N;10;1-Propoxypropan-2-ol;CCCOCC(C)O
60;InChIKey=XNWFRZJHXBZDAG-UHFFFAOYSA-N;10;2-Methoxyethanol;COCCO
61;InChIKey=WVDDGKGOMKODPV-UHFFFAOYSA-N;10;phenylmethanol;OCc1ccccc1
62;InChIKey=UAEPNZWRGJTJPN-UHFFFAOYSA-N;8;Methylcyclohexane;CC1CCCCC1
63;InChIKey=RDOXTESZEPMUJZ-UHFFFAOYSA-N;6;Methoxybenzene;COc1ccccc1
64;InChIKey=JYVLIDXNZAXMDK-UHFFFAOYSA-N;6;pentan-2-ol;CCCC(C)O
65;InChIKey=DURPTKYDGMDSBL-UHFFFAOYSA-N;6;1-Butoxybutane;CCCCOCCCC
66;InChIKey=JOLQKTGDSGKSKJ-UHFFFAOYSA-N;5;1-Ethoxypropan-2-ol;CCOCC(C)O
67;InChIKey=ARXJGSRGQADJSQ-UHFFFAOYSA-N;5;1-Methoxypropan-2-ol;COCC(C)O
68;InChIKey=SGVYKUFIHHTIFL-UHFFFAOYSA-N;5;2-Methylnonane;CCCCCCCC(C)C
69;InChIKey=POAOYUHQDCAZBD-UHFFFAOYSA-N;5;2-Butoxyethanol;CCCCOCCO
70;InChIKey=HPXRVTGHNJAIIH-UHFFFAOYSA-N;5;Cyclohexanol;OC1CCCCC1
71;InChIKey=SJWFXCIHNDVPSH-UHFFFAOYSA-N;5;octan-2-ol;CCCCCCC(C)O
72;InChIKey=RWNUSVWFHDHRCJ-UHFFFAOYSA-N;5;1-Butoxypropan-2-ol;CCCCOCC(C)O
73;InChIKey=DZJTZGHZAWTWGA-UHFFFAOYSA-N;5;3,5-DIMETHYLHEPTANE;CCC(C)CC(C)CC
74;InChIKey=DOGIHOCMZJUJNR-UHFFFAOYSA-N;5;4-Methyloctane;CCCCC(C)CCC
75;InChIKey=WGKZYJXRTIPTCV-UHFFFAOYSA-N;5;2-butoxypropan-1-ol;CCCCOC(C)CO
76;InChIKey=XXJWXESWEXIICW-UHFFFAOYSA-N;5;2-(2-Ethoxyethoxy)ethanol;CCOCCOCCO
77;InChIKey=JEEQUUSFXYRPRK-UHFFFAOYSA-N;5;3,6-Dimethyloctane;CCC(C)CCC(C)CC
78;InChIKey=ZUBZATZOEPUUQF-UHFFFAOYSA-N;5;2-Methyloctane;CCCCCCC(C)C
79;InChIKey=JWUJQDFVADABEY-UHFFFAOYSA-N;4;2-Methyloxolane;CC1CCCO1
80;InChIKey=PHTQWCKDNZKARW-UHFFFAOYSA-N;4;3-Methylbutan-1-ol;CC(C)CCO
81;InChIKey=RWGFKTVRMDUZSP-UHFFFAOYSA-N;4;;CC(C)c1ccccc1
82;InChIKey=WJTCGQSWYFHTAC-UHFFFAOYSA-N;4;;C1CCCCCCC1
83;InChIKey=YIWUKEYIRIRTPP-UHFFFAOYSA-N;4;2-Ethylhexan-1-ol;CCCCC(CC)CO
84;InChIKey=SBASXUCJHJRPEV-UHFFFAOYSA-N;4;2-(2-Methoxyethoxy)ethanol;COCCOCCO
85;InChIKey=AUHZEENZYGFFBQ-UHFFFAOYSA-N;3;1,3,5-Trimethylbenzene;Cc1cc(C)cc(C)c1
86;InChIKey=KXUHSQYYJYAXGZ-UHFFFAOYSA-N;3;2-methylpropylbenzene;CC(C)Cc1ccccc1
87;InChIKey=OCKPCBLVNKHBMX-UHFFFAOYSA-N;3;Butylbenzene;CCCCc1ccccc1
88;InChIKey=GDOPTJXRTPNYNR-UHFFFAOYSA-N;3;Methylcyclopentane;CC1CCCC1
89;InChIKey=OWBTYPJTUOEWEK-UHFFFAOYSA-N;2;;CC(O)C(C)O
90;InChIKey=QNVRIHYSUZMSGM-UHFFFAOYSA-N;2;hexan-2-ol;CCCCC(C)O
91;InChIKey=ALQSHHUCVQOPAS-UHFFFAOYSA-N;2;Pentane-1,5-diol;OCCCCCO
92;InChIKey=CETWDUZRCINIHU-UHFFFAOYSA-N;2;heptan-2-ol;CCCCCC(C)O
93;InChIKey=CUDYYMUUJHLCGZ-UHFFFAOYSA-N;1;2-(2-methoxypropoxy)propan-1-ol;COC(C)COC(C)CO
94;InChIKey=NNBZCPXTIHJBJL-UHFFFAOYSA-N;1;1,2,3,4,4a,5,6,7,8,8a-decahydronaphthalene;C1CCC2CCCCC2C1
95;InChIKey=BSYVTEYKTMYBMK-UHFFFAOYSA-N;1;oxolan-2-ylmethanol;OCC1CCCO1
96;InChIKey=RTZKZFJDLAIYFH-UHFFFAOYSA-N;1;Ethoxyethane;CCOCC
97;InChIKey=XPFVYQJUAUNWIW-UHFFFAOYSA-N;1;furan-2-ylmethanol;OCc1occc1
98;InChIKey=HVZJRWJGKQPSFL-UHFFFAOYSA-N;1;2-Methoxy-2-methylbutane;CCC(C)(C)OC
99;InChIKey=HCGFUIQPSOCUHI-UHFFFAOYSA-N;1;2-propan-2-yloxyethanol;CC(C)OCCO
